日期,原线路,替代场地1,替代场地2,替代线路,分流货量
2023-01-09,DC5->DC70,DC34,DC70,DC34->DC70,2.0
2023-01-09,DC5->DC8,DC62,DC8,DC62->DC8,8.0
2023-01-09,DC50->DC5,DC50,DC9,DC50->DC9,798.0
2023-01-09,DC51->DC5,DC51,DC8,DC51->DC8,3343.0
2023-01-09,DC52->DC5,DC52,DC8,DC52->DC8,53.0
2023-01-09,DC53->DC5,DC53,DC64,DC53->DC64,423.0
2023-01-09,DC55->DC5,DC55,DC8,DC55->DC8,45.0
2023-01-09,DC59->DC5,DC59,DC8,DC59->DC8,409.0
2023-01-09,DC60->DC5,DC60,DC14,DC60->DC14,1281.0
2023-01-09,DC62->DC5,DC62,DC8,DC62->DC8,6100.0
2023-01-09,DC68->DC5,DC68,DC14,DC68->DC14,118.0
2023-01-09,DC69->DC5,DC69,DC10,DC69->DC10,29.0
2023-01-09,DC7->DC5,DC7,DC10,DC7->DC10,156.0
2023-01-09,DC71->DC5,DC71,DC8,DC71->DC8,65.0
2023-01-09,DC73->DC5,DC73,DC4,DC73->DC4,3702.0
2023-01-09,DC8->DC5,DC8,DC10,DC8->DC10,8198.0
2023-01-10,DC10->DC5,DC10,DC9,DC10->DC9,7494.0
2023-01-10,DC14->DC5,DC14,DC62,DC14->DC62,15384.0
2023-01-10,DC15->DC5,DC15,DC9,DC15->DC9,3185.0
2023-01-10,DC17->DC5,DC17,DC14,DC17->DC14,8307.0
2023-01-10,DC19->DC5,DC19,DC62,DC19->DC62,5212.0
2023-01-10,DC20->DC5,DC20,DC14,DC20->DC14,5457.0
2023-01-10,DC22->DC5,DC22,DC3,DC22->DC3,5439.0
2023-01-10,DC23->DC5,DC23,DC62,DC23->DC62,7874.0
2023-01-10,DC25->DC5,DC25,DC65,DC25->DC65,5488.0
2023-01-10,DC26->DC5,DC26,DC8,DC26->DC8,1549.0
2023-01-10,DC27->DC5,DC27,DC65,DC27->DC65,3032.0
2023-01-10,DC28->DC5,DC28,DC64,DC28->DC64,2483.0
2023-01-10,DC30->DC5,DC30,DC35,DC30->DC35,1530.0
2023-01-10,DC31->DC5,DC31,DC4,DC31->DC4,196.0
2023-01-10,DC34->DC5,DC34,DC10,DC34->DC10,16.0
2023-01-10,DC36->DC5,DC36,DC62,DC36->DC62,7474.0
2023-01-10,DC38->DC5,DC38,DC8,DC38->DC8,2731.0
2023-01-10,DC4->DC5,DC4,DC23,DC4->DC23,11.0
2023-01-10,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-10,DC42->DC5,DC42,DC35,DC42->DC35,418.0
2023-01-10,DC43->DC5,DC43,DC62,DC43->DC62,876.0
2023-01-10,DC44->DC5,DC44,DC14,DC44->DC14,2976.0
2023-01-10,DC46->DC5,DC46,DC3,DC46->DC3,1054.0
2023-01-10,DC47->DC5,DC47,DC14,DC47->DC14,1860.0
2023-01-10,DC48->DC5,DC48,DC8,DC48->DC8,1295.0
2023-01-10,DC5->DC10,DC8,DC10,DC8->DC10,162.0
2023-01-10,DC5->DC14,DC44,DC14,DC44->DC14,107.0
2023-01-10,DC5->DC4,DC31,DC4,DC31->DC4,1900.0
2023-01-10,DC5->DC62,DC14,DC62,DC14->DC62,155.0
2023-01-10,DC5->DC70,DC68,DC70,DC68->DC70,2.0
2023-01-10,DC5->DC8,DC71,DC8,DC71->DC8,8.0
2023-01-10,DC50->DC5,DC50,DC9,DC50->DC9,882.0
2023-01-10,DC51->DC5,DC51,DC8,DC51->DC8,3360.0
2023-01-10,DC52->DC5,DC52,DC8,DC52->DC8,50.0
2023-01-10,DC53->DC5,DC53,DC64,DC53->DC64,378.0
2023-01-10,DC55->DC5,DC55,DC8,DC55->DC8,45.0
2023-01-10,DC59->DC5,DC59,DC8,DC59->DC8,400.0
2023-01-10,DC60->DC5,DC60,DC14,DC60->DC14,1257.0
2023-01-10,DC62->DC5,DC62,DC8,DC62->DC8,6103.0
2023-01-10,DC68->DC5,DC68,DC70,DC68->DC70,115.0
2023-01-10,DC69->DC5,DC69,DC10,DC69->DC10,23.0
2023-01-10,DC7->DC5,DC7,DC10,DC7->DC10,200.0
2023-01-10,DC71->DC5,DC71,DC8,DC71->DC8,57.0
2023-01-10,DC73->DC5,DC73,DC14,DC73->DC14,3704.0
2023-01-10,DC8->DC5,DC8,DC10,DC8->DC10,8066.0
2023-01-11,DC10->DC5,DC10,DC9,DC10->DC9,7536.0
2023-01-11,DC14->DC5,DC14,DC62,DC14->DC62,15358.0
2023-01-11,DC15->DC5,DC15,DC14,DC15->DC14,3220.0
2023-01-11,DC17->DC5,DC17,DC14,DC17->DC14,8252.0
2023-01-11,DC19->DC5,DC19,DC62,DC19->DC62,5272.0
2023-01-11,DC20->DC5,DC20,DC14,DC20->DC14,5435.0
2023-01-11,DC22->DC5,DC22,DC3,DC22->DC3,5465.0
2023-01-11,DC23->DC5,DC23,DC62,DC23->DC62,7970.0
2023-01-11,DC25->DC5,DC25,DC65,DC25->DC65,5287.0
2023-01-11,DC26->DC5,DC26,DC8,DC26->DC8,1515.0
2023-01-11,DC27->DC5,DC27,DC65,DC27->DC65,2819.0
2023-01-11,DC28->DC5,DC28,DC64,DC28->DC64,2497.0
2023-01-11,DC30->DC5,DC30,DC4,DC30->DC4,1707.0
2023-01-11,DC31->DC5,DC31,DC4,DC31->DC4,196.0
2023-01-11,DC34->DC5,DC34,DC70,DC34->DC70,15.0
2023-01-11,DC36->DC5,DC36,DC62,DC36->DC62,7516.0
2023-01-11,DC38->DC5,DC38,DC8,DC38->DC8,2723.0
2023-01-11,DC4->DC5,DC4,DC23,DC4->DC23,14.0
2023-01-11,DC40->DC5,DC40,DC8,DC40->DC8,9.0
2023-01-11,DC42->DC5,DC42,DC35,DC42->DC35,418.0
2023-01-11,DC43->DC5,DC43,DC62,DC43->DC62,860.0
2023-01-11,DC44->DC5,DC44,DC14,DC44->DC14,3072.0
2023-01-11,DC46->DC5,DC46,DC3,DC46->DC3,1133.0
2023-01-11,DC47->DC5,DC47,DC14,DC47->DC14,1871.0
2023-01-11,DC48->DC5,DC48,DC8,DC48->DC8,1372.0
2023-01-11,DC5->DC10,DC8,DC10,DC8->DC10,164.0
2023-01-11,DC5->DC14,DC44,DC14,DC44->DC14,106.0
2023-01-11,DC5->DC4,DC31,DC4,DC31->DC4,1918.0
2023-01-11,DC5->DC62,DC43,DC62,DC43->DC62,165.0
2023-01-11,DC5->DC70,DC34,DC70,DC34->DC70,2.0
2023-01-11,DC5->DC8,DC38,DC8,DC38->DC8,8.0
2023-01-11,DC50->DC5,DC50,DC9,DC50->DC9,837.0
2023-01-11,DC51->DC5,DC51,DC8,DC51->DC8,3376.0
2023-01-11,DC52->DC5,DC52,DC8,DC52->DC8,45.0
2023-01-11,DC53->DC5,DC53,DC64,DC53->DC64,405.0
2023-01-11,DC55->DC5,DC55,DC8,DC55->DC8,44.0
2023-01-11,DC59->DC5,DC59,DC8,DC59->DC8,371.0
2023-01-11,DC60->DC5,DC60,DC14,DC60->DC14,1272.0
2023-01-11,DC62->DC5,DC62,DC8,DC62->DC8,6080.0
2023-01-11,DC68->DC5,DC68,DC14,DC68->DC14,113.0
2023-01-11,DC69->DC5,DC69,DC10,DC69->DC10,23.0
2023-01-11,DC7->DC5,DC7,DC10,DC7->DC10,196.0
2023-01-11,DC71->DC5,DC71,DC8,DC71->DC8,62.0
2023-01-11,DC73->DC5,DC73,DC14,DC73->DC14,3627.0
2023-01-11,DC8->DC5,DC8,DC10,DC8->DC10,8080.0
2023-01-12,DC10->DC5,DC10,DC9,DC10->DC9,7589.0
2023-01-12,DC14->DC5,DC14,DC62,DC14->DC62,15423.0
2023-01-12,DC15->DC5,DC15,DC14,DC15->DC14,3231.0
2023-01-12,DC17->DC5,DC17,DC14,DC17->DC14,8032.0
2023-01-12,DC19->DC5,DC19,DC62,DC19->DC62,5368.0
2023-01-12,DC20->DC5,DC20,DC14,DC20->DC14,5516.0
2023-01-12,DC22->DC5,DC22,DC3,DC22->DC3,5381.0
2023-01-12,DC23->DC5,DC23,DC62,DC23->DC62,7894.0
2023-01-12,DC25->DC5,DC25,DC65,DC25->DC65,5346.0
2023-01-12,DC26->DC5,DC26,DC8,DC26->DC8,1435.0
2023-01-12,DC27->DC5,DC27,DC65,DC27->DC65,2937.0
2023-01-12,DC28->DC5,DC28,DC64,DC28->DC64,2504.0
2023-01-12,DC30->DC5,DC30,DC35,DC30->DC35,1596.0
2023-01-12,DC31->DC5,DC31,DC4,DC31->DC4,193.0
2023-01-12,DC34->DC5,DC34,DC4,DC34->DC4,16.0
2023-01-12,DC36->DC5,DC36,DC62,DC36->DC62,7605.0
2023-01-12,DC38->DC5,DC38,DC8,DC38->DC8,2627.0
2023-01-12,DC4->DC5,DC4,DC23,DC4->DC23,14.0
2023-01-12,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-12,DC42->DC5,DC42,DC35,DC42->DC35,401.0
2023-01-12,DC43->DC5,DC43,DC62,DC43->DC62,765.0
2023-01-12,DC44->DC5,DC44,DC14,DC44->DC14,3035.0
2023-01-12,DC46->DC5,DC46,DC14,DC46->DC14,1285.0
2023-01-12,DC47->DC5,DC47,DC14,DC47->DC14,1807.0
2023-01-12,DC48->DC5,DC48,DC4,DC48->DC4,1370.0
2023-01-12,DC5->DC10,DC7,DC10,DC7->DC10,167.0
2023-01-12,DC5->DC14,DC20,DC14,DC20->DC14,104.0
2023-01-12,DC5->DC4,DC31,DC4,DC31->DC4,1679.0
2023-01-12,DC5->DC62,DC14,DC62,DC14->DC62,160.0
2023-01-12,DC5->DC70,DC59,DC70,DC59->DC70,2.0
2023-01-12,DC5->DC8,DC40,DC8,DC40->DC8,8.0
2023-01-12,DC50->DC5,DC50,DC9,DC50->DC9,836.0
2023-01-12,DC51->DC5,DC51,DC8,DC51->DC8,3328.0
2023-01-12,DC52->DC5,DC52,DC8,DC52->DC8,50.0
2023-01-12,DC53->DC5,DC53,DC64,DC53->DC64,393.0
2023-01-12,DC55->DC5,DC55,DC8,DC55->DC8,44.0
2023-01-12,DC59->DC5,DC59,DC70,DC59->DC70,405.0
2023-01-12,DC60->DC5,DC60,DC62,DC60->DC62,1244.0
2023-01-12,DC62->DC5,DC62,DC8,DC62->DC8,6044.0
2023-01-12,DC68->DC5,DC68,DC14,DC68->DC14,110.0
2023-01-12,DC69->DC5,DC69,DC8,DC69->DC8,26.0
2023-01-12,DC7->DC5,DC7,DC10,DC7->DC10,186.0
2023-01-12,DC71->DC5,DC71,DC8,DC71->DC8,58.0
2023-01-12,DC73->DC5,DC73,DC14,DC73->DC14,3498.0
2023-01-12,DC8->DC5,DC8,DC10,DC8->DC10,7942.9999
2023-01-13,DC10->DC5,DC10,DC9,DC10->DC9,7542.0
2023-01-13,DC14->DC5,DC14,DC62,DC14->DC62,15568.0
2023-01-13,DC15->DC5,DC15,DC14,DC15->DC14,3246.0
2023-01-13,DC17->DC5,DC17,DC14,DC17->DC14,8169.0
2023-01-13,DC19->DC5,DC19,DC62,DC19->DC62,5315.0
2023-01-13,DC20->DC5,DC20,DC14,DC20->DC14,5556.0
2023-01-13,DC22->DC5,DC22,DC3,DC22->DC3,5397.0
2023-01-13,DC23->DC5,DC23,DC62,DC23->DC62,7917.0
2023-01-13,DC25->DC5,DC25,DC65,DC25->DC65,5426.0
2023-01-13,DC26->DC5,DC26,DC8,DC26->DC8,1437.0
2023-01-13,DC27->DC5,DC27,DC65,DC27->DC65,2975.0
2023-01-13,DC28->DC5,DC28,DC64,DC28->DC64,2493.0
2023-01-13,DC30->DC5,DC30,DC35,DC30->DC35,1696.0
2023-01-13,DC31->DC5,DC31,DC4,DC31->DC4,188.0
2023-01-13,DC34->DC5,DC34,DC10,DC34->DC10,16.0
2023-01-13,DC36->DC5,DC36,DC62,DC36->DC62,7617.0
2023-01-13,DC38->DC5,DC38,DC8,DC38->DC8,2660.0
2023-01-13,DC4->DC5,DC4,DC23,DC4->DC23,17.0
2023-01-13,DC40->DC5,DC40,DC8,DC40->DC8,9.0
2023-01-13,DC42->DC5,DC42,DC35,DC42->DC35,407.0
2023-01-13,DC43->DC5,DC43,DC62,DC43->DC62,825.0
2023-01-13,DC44->DC5,DC44,DC14,DC44->DC14,3051.0
2023-01-13,DC46->DC5,DC46,DC3,DC46->DC3,1316.0
2023-01-13,DC47->DC5,DC47,DC14,DC47->DC14,1828.0
2023-01-13,DC48->DC5,DC48,DC8,DC48->DC8,1343.0
2023-01-13,DC5->DC10,DC69,DC10,DC69->DC10,163.0
2023-01-13,DC5->DC14,DC73,DC14,DC73->DC14,104.0
2023-01-13,DC5->DC4,DC31,DC4,DC31->DC4,1391.0
2023-01-13,DC5->DC62,DC23,DC62,DC23->DC62,162.0
2023-01-13,DC5->DC70,DC68,DC70,DC68->DC70,2.0
2023-01-13,DC5->DC8,DC55,DC8,DC55->DC8,8.0
2023-01-13,DC50->DC5,DC50,DC9,DC50->DC9,828.0
2023-01-13,DC51->DC5,DC51,DC8,DC51->DC8,3340.0
2023-01-13,DC52->DC5,DC52,DC8,DC52->DC8,53.0
2023-01-13,DC53->DC5,DC53,DC64,DC53->DC64,393.0
2023-01-13,DC55->DC5,DC55,DC8,DC55->DC8,44.0
2023-01-13,DC59->DC5,DC59,DC8,DC59->DC8,393.0
2023-01-13,DC60->DC5,DC60,DC14,DC60->DC14,1250.0
2023-01-13,DC62->DC5,DC62,DC8,DC62->DC8,5806.0
2023-01-13,DC68->DC5,DC68,DC70,DC68->DC70,109.0
2023-01-13,DC69->DC5,DC69,DC10,DC69->DC10,24.0
2023-01-13,DC7->DC5,DC7,DC10,DC7->DC10,180.0
2023-01-13,DC71->DC5,DC71,DC8,DC71->DC8,62.0
2023-01-13,DC73->DC5,DC73,DC14,DC73->DC14,3642.0
2023-01-13,DC8->DC5,DC8,DC10,DC8->DC10,8064.0
2023-01-14,DC10->DC5,DC10,DC9,DC10->DC9,7156.0
2023-01-14,DC14->DC5,DC14,DC62,DC14->DC62,15269.0
2023-01-14,DC15->DC5,DC15,DC14,DC15->DC14,3228.0
2023-01-14,DC17->DC5,DC17,DC14,DC17->DC14,7795.0
2023-01-14,DC19->DC5,DC19,DC62,DC19->DC62,5330.0
2023-01-14,DC20->DC5,DC20,DC14,DC20->DC14,5477.0
2023-01-14,DC22->DC5,DC22,DC3,DC22->DC3,5340.0
2023-01-14,DC23->DC5,DC23,DC62,DC23->DC62,7679.0
2023-01-14,DC25->DC5,DC25,DC65,DC25->DC65,4640.0
2023-01-14,DC26->DC5,DC26,DC8,DC26->DC8,1402.0
2023-01-14,DC27->DC5,DC27,DC65,DC27->DC65,3173.0
2023-01-14,DC28->DC5,DC28,DC64,DC28->DC64,2506.0
2023-01-14,DC30->DC5,DC30,DC35,DC30->DC35,1696.0
2023-01-14,DC31->DC5,DC31,DC4,DC31->DC4,106.0
2023-01-14,DC34->DC5,DC34,DC10,DC34->DC10,14.0
2023-01-14,DC36->DC5,DC36,DC62,DC36->DC62,7501.0
2023-01-14,DC38->DC5,DC38,DC8,DC38->DC8,2608.0
2023-01-14,DC4->DC5,DC4,DC23,DC4->DC23,14.0
2023-01-14,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-14,DC42->DC5,DC42,DC35,DC42->DC35,389.0
2023-01-14,DC43->DC5,DC43,DC62,DC43->DC62,809.0
2023-01-14,DC44->DC5,DC44,DC14,DC44->DC14,3113.0
2023-01-14,DC46->DC5,DC46,DC3,DC46->DC3,1231.0
2023-01-14,DC47->DC5,DC47,DC14,DC47->DC14,1653.0
2023-01-14,DC48->DC5,DC48,DC4,DC48->DC4,1325.0
2023-01-14,DC5->DC10,DC34,DC10,DC34->DC10,160.0
2023-01-14,DC5->DC14,DC68,DC14,DC68->DC14,98.0
2023-01-14,DC5->DC4,DC48,DC4,DC48->DC4,1634.0
2023-01-14,DC5->DC62,DC36,DC62,DC36->DC62,140.0
2023-01-14,DC5->DC70,DC71,DC70,DC71->DC70,2.0
2023-01-14,DC5->DC8,DC59,DC8,DC59->DC8,6.0
2023-01-14,DC50->DC5,DC50,DC9,DC50->DC9,741.0
2023-01-14,DC51->DC5,DC51,DC8,DC51->DC8,3163.0
2023-01-14,DC52->DC5,DC52,DC8,DC52->DC8,47.0
2023-01-14,DC53->DC5,DC53,DC64,DC53->DC64,311.0
2023-01-14,DC55->DC5,DC55,DC8,DC55->DC8,43.0
2023-01-14,DC59->DC5,DC59,DC8,DC59->DC8,331.0
2023-01-14,DC60->DC5,DC60,DC14,DC60->DC14,1191.0
2023-01-14,DC62->DC5,DC62,DC8,DC62->DC8,5678.0
2023-01-14,DC68->DC5,DC68,DC14,DC68->DC14,99.0
2023-01-14,DC69->DC5,DC69,DC10,DC69->DC10,15.0
2023-01-14,DC7->DC5,DC7,DC10,DC7->DC10,178.0
2023-01-14,DC71->DC5,DC71,DC70,DC71->DC70,57.0
2023-01-14,DC73->DC5,DC73,DC14,DC73->DC14,3553.0
2023-01-14,DC8->DC5,DC8,DC10,DC8->DC10,7135.0
2023-01-15,DC10->DC5,DC10,DC9,DC10->DC9,6920.0
2023-01-15,DC14->DC5,DC14,DC62,DC14->DC62,15255.0
2023-01-15,DC15->DC5,DC15,DC14,DC15->DC14,3140.0
2023-01-15,DC17->DC5,DC17,DC14,DC17->DC14,7692.0
2023-01-15,DC19->DC5,DC19,DC62,DC19->DC62,5069.0
2023-01-15,DC20->DC5,DC20,DC14,DC20->DC14,5271.0
2023-01-15,DC22->DC5,DC22,DC3,DC22->DC3,5137.0
2023-01-15,DC23->DC5,DC23,DC62,DC23->DC62,7626.0
2023-01-15,DC25->DC5,DC25,DC65,DC25->DC65,4372.0
2023-01-15,DC26->DC5,DC26,DC8,DC26->DC8,1432.0
2023-01-15,DC27->DC5,DC27,DC65,DC27->DC65,3092.0
2023-01-15,DC28->DC5,DC28,DC64,DC28->DC64,2347.0
2023-01-15,DC30->DC5,DC30,DC4,DC30->DC4,1634.0
2023-01-15,DC31->DC5,DC31,DC4,DC31->DC4,72.0
2023-01-15,DC34->DC5,DC34,DC70,DC34->DC70,10.0
2023-01-15,DC36->DC5,DC36,DC62,DC36->DC62,7431.0
2023-01-15,DC38->DC5,DC38,DC8,DC38->DC8,2464.0
2023-01-15,DC4->DC5,DC4,DC23,DC4->DC23,13.0
2023-01-15,DC40->DC5,DC40,DC8,DC40->DC8,9.0
2023-01-15,DC42->DC5,DC42,DC35,DC42->DC35,392.0
2023-01-15,DC43->DC5,DC43,DC62,DC43->DC62,828.0
2023-01-15,DC44->DC5,DC44,DC14,DC44->DC14,2937.0
2023-01-15,DC46->DC5,DC46,DC3,DC46->DC3,1271.0
2023-01-15,DC47->DC5,DC47,DC14,DC47->DC14,1613.0
2023-01-15,DC48->DC5,DC48,DC8,DC48->DC8,1319.0
2023-01-15,DC5->DC10,DC69,DC10,DC69->DC10,156.0
2023-01-15,DC5->DC14,DC20,DC14,DC20->DC14,96.0
2023-01-15,DC5->DC4,DC31,DC4,DC31->DC4,1450.0
2023-01-15,DC5->DC62,DC23,DC62,DC23->DC62,129.0
2023-01-15,DC5->DC70,DC34,DC70,DC34->DC70,2.0
2023-01-15,DC5->DC8,DC38,DC8,DC38->DC8,6.0
2023-01-15,DC50->DC5,DC50,DC9,DC50->DC9,690.0
2023-01-15,DC51->DC5,DC51,DC8,DC51->DC8,3067.0
2023-01-15,DC52->DC5,DC52,DC8,DC52->DC8,48.0
2023-01-15,DC53->DC5,DC53,DC64,DC53->DC64,308.0
2023-01-15,DC55->DC5,DC55,DC8,DC55->DC8,43.0
2023-01-15,DC59->DC5,DC59,DC8,DC59->DC8,329.0
2023-01-15,DC60->DC5,DC60,DC14,DC60->DC14,1129.0
2023-01-15,DC62->DC5,DC62,DC8,DC62->DC8,5105.0
2023-01-15,DC68->DC5,DC68,DC14,DC68->DC14,99.0
2023-01-15,DC69->DC5,DC69,DC10,DC69->DC10,11.0
2023-01-15,DC7->DC5,DC7,DC10,DC7->DC10,161.0
2023-01-15,DC71->DC5,DC71,DC8,DC71->DC8,49.0
2023-01-15,DC73->DC5,DC73,DC14,DC73->DC14,3418.0
2023-01-15,DC8->DC5,DC8,DC10,DC8->DC10,7114.0
2023-01-16,DC10->DC5,DC10,DC9,DC10->DC9,7451.0
2023-01-16,DC14->DC5,DC14,DC62,DC14->DC62,15254.0
2023-01-16,DC15->DC5,DC15,DC14,DC15->DC14,3197.0
2023-01-16,DC17->DC5,DC17,DC14,DC17->DC14,8248.0
2023-01-16,DC19->DC5,DC19,DC14,DC19->DC14,5119.0
2023-01-16,DC20->DC5,DC20,DC14,DC20->DC14,5423.0
2023-01-16,DC22->DC5,DC22,DC3,DC22->DC3,5381.0
2023-01-16,DC23->DC5,DC23,DC62,DC23->DC62,7843.0
2023-01-16,DC25->DC5,DC25,DC65,DC25->DC65,4922.0
2023-01-16,DC26->DC5,DC26,DC8,DC26->DC8,1570.0
2023-01-16,DC27->DC5,DC27,DC65,DC27->DC65,3230.0
2023-01-16,DC28->DC5,DC28,DC64,DC28->DC64,2504.0
2023-01-16,DC30->DC5,DC30,DC4,DC30->DC4,1646.0
2023-01-16,DC31->DC5,DC31,DC4,DC31->DC4,129.0
2023-01-16,DC34->DC5,DC34,DC70,DC34->DC70,11.0
2023-01-16,DC36->DC5,DC36,DC62,DC36->DC62,7395.0
2023-01-16,DC38->DC5,DC38,DC8,DC38->DC8,2733.0
2023-01-16,DC4->DC5,DC4,DC23,DC4->DC23,13.0
2023-01-16,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-16,DC42->DC5,DC42,DC35,DC42->DC35,410.0
2023-01-16,DC43->DC5,DC43,DC8,DC43->DC8,858.0
2023-01-16,DC44->DC5,DC44,DC14,DC44->DC14,3198.0
2023-01-16,DC46->DC5,DC46,DC3,DC46->DC3,1250.0
2023-01-16,DC47->DC5,DC47,DC14,DC47->DC14,1738.0
2023-01-16,DC48->DC5,DC48,DC4,DC48->DC4,1360.0
2023-01-16,DC5->DC10,DC7,DC10,DC7->DC10,165.0
2023-01-16,DC5->DC14,DC60,DC14,DC60->DC14,108.0
2023-01-16,DC5->DC4,DC71,DC4,DC71->DC4,2004.0
2023-01-16,DC5->DC62,DC23,DC62,DC23->DC62,134.0
2023-01-16,DC5->DC70,DC34,DC70,DC34->DC70,4.0
2023-01-16,DC5->DC8,DC69,DC8,DC69->DC8,6.0
2023-01-16,DC50->DC5,DC50,DC9,DC50->DC9,817.0
2023-01-16,DC51->DC5,DC51,DC8,DC51->DC8,3371.0
2023-01-16,DC52->DC5,DC52,DC8,DC52->DC8,47.0
2023-01-16,DC53->DC5,DC53,DC64,DC53->DC64,395.0
2023-01-16,DC55->DC5,DC55,DC8,DC55->DC8,45.0
2023-01-16,DC59->DC5,DC59,DC8,DC59->DC8,407.0
2023-01-16,DC60->DC5,DC60,DC14,DC60->DC14,1206.0
2023-01-16,DC62->DC5,DC62,DC8,DC62->DC8,5321.0
2023-01-16,DC68->DC5,DC68,DC14,DC68->DC14,116.0
2023-01-16,DC69->DC5,DC69,DC8,DC69->DC8,13.0
2023-01-16,DC7->DC5,DC7,DC10,DC7->DC10,184.0
2023-01-16,DC71->DC5,DC71,DC4,DC71->DC4,74.0
2023-01-16,DC73->DC5,DC73,DC14,DC73->DC14,3664.0
2023-01-16,DC8->DC5,DC8,DC10,DC8->DC10,8076.9999
2023-01-17,DC10->DC5,DC10,DC9,DC10->DC9,7258.0
2023-01-17,DC14->DC5,DC14,DC62,DC14->DC62,15107.0
2023-01-17,DC15->DC5,DC15,DC14,DC15->DC14,3135.0
2023-01-17,DC17->DC5,DC17,DC14,DC17->DC14,8199.0
2023-01-17,DC19->DC5,DC19,DC62,DC19->DC62,5020.0
2023-01-17,DC20->DC5,DC20,DC14,DC20->DC14,5386.0
2023-01-17,DC22->DC5,DC22,DC3,DC22->DC3,5371.0
2023-01-17,DC23->DC5,DC23,DC62,DC23->DC62,7589.0
2023-01-17,DC25->DC5,DC25,DC65,DC25->DC65,5630.0
2023-01-17,DC26->DC5,DC26,DC8,DC26->DC8,1510.0
2023-01-17,DC27->DC5,DC27,DC65,DC27->DC65,2933.0
2023-01-17,DC28->DC5,DC28,DC64,DC28->DC64,2431.0
2023-01-17,DC30->DC5,DC30,DC4,DC30->DC4,1601.0
2023-01-17,DC31->DC5,DC31,DC4,DC31->DC4,116.0
2023-01-17,DC34->DC5,DC34,DC4,DC34->DC4,11.0
2023-01-17,DC36->DC5,DC36,DC62,DC36->DC62,7306.0
2023-01-17,DC38->DC5,DC38,DC70,DC38->DC70,2662.0
2023-01-17,DC4->DC5,DC4,DC23,DC4->DC23,12.0
2023-01-17,DC40->DC5,DC40,DC8,DC40->DC8,9.0
2023-01-17,DC42->DC5,DC42,DC35,DC42->DC35,408.0
2023-01-17,DC43->DC5,DC43,DC4,DC43->DC4,846.0
2023-01-17,DC44->DC5,DC44,DC14,DC44->DC14,3070.0
2023-01-17,DC46->DC5,DC46,DC3,DC46->DC3,1215.0
2023-01-17,DC47->DC5,DC47,DC14,DC47->DC14,1756.0
2023-01-17,DC48->DC5,DC48,DC8,DC48->DC8,1335.0
2023-01-17,DC5->DC10,DC69,DC10,DC69->DC10,159.0
2023-01-17,DC5->DC14,DC17,DC14,DC17->DC14,101.0
2023-01-17,DC5->DC4,DC31,DC4,DC31->DC4,1759.0
2023-01-17,DC5->DC62,DC19,DC62,DC19->DC62,122.0
2023-01-17,DC5->DC70,DC38,DC70,DC38->DC70,4.0
2023-01-17,DC5->DC8,DC51,DC8,DC51->DC8,6.0
2023-01-17,DC50->DC5,DC50,DC9,DC50->DC9,843.0
2023-01-17,DC51->DC5,DC51,DC8,DC51->DC8,3282.0
2023-01-17,DC52->DC5,DC52,DC8,DC52->DC8,49.0
2023-01-17,DC53->DC5,DC53,DC64,DC53->DC64,343.0
2023-01-17,DC55->DC5,DC55,DC8,DC55->DC8,42.0
2023-01-17,DC59->DC5,DC59,DC8,DC59->DC8,386.0
2023-01-17,DC60->DC5,DC60,DC14,DC60->DC14,1162.0
2023-01-17,DC62->DC5,DC62,DC8,DC62->DC8,5198.0
2023-01-17,DC68->DC5,DC68,DC14,DC68->DC14,105.0
2023-01-17,DC69->DC5,DC69,DC10,DC69->DC10,11.0
2023-01-17,DC7->DC5,DC7,DC10,DC7->DC10,177.0
2023-01-17,DC71->DC5,DC71,DC8,DC71->DC8,71.0
2023-01-17,DC73->DC5,DC73,DC14,DC73->DC14,3557.0
2023-01-17,DC8->DC5,DC8,DC10,DC8->DC10,7887.0
2023-01-18,DC10->DC5,DC10,DC9,DC10->DC9,7089.0
2023-01-18,DC14->DC5,DC14,DC62,DC14->DC62,14965.0
2023-01-18,DC15->DC5,DC15,DC14,DC15->DC14,2987.0
2023-01-18,DC17->DC5,DC17,DC14,DC17->DC14,8069.0
2023-01-18,DC19->DC5,DC19,DC62,DC19->DC62,4857.0
2023-01-18,DC20->DC5,DC20,DC14,DC20->DC14,5317.0
2023-01-18,DC22->DC5,DC22,DC3,DC22->DC3,5377.0
2023-01-18,DC23->DC5,DC23,DC62,DC23->DC62,7652.0
2023-01-18,DC25->DC5,DC25,DC65,DC25->DC65,5426.0
2023-01-18,DC26->DC5,DC26,DC8,DC26->DC8,1433.0
2023-01-18,DC27->DC5,DC27,DC65,DC27->DC65,2665.0
2023-01-18,DC28->DC5,DC28,DC64,DC28->DC64,2245.0
2023-01-18,DC30->DC5,DC30,DC4,DC30->DC4,1532.0
2023-01-18,DC31->DC5,DC31,DC4,DC31->DC4,116.0
2023-01-18,DC34->DC5,DC34,DC70,DC34->DC70,10.0
2023-01-18,DC36->DC5,DC36,DC62,DC36->DC62,7171.0
