场地1,场地2,edge,日期,预测货量,线路能力,分流增加货量,调整后货量,线路负荷率
DC10,DC34,DC10->DC34,2023-01-07,0,200,0.0,0.0,0.0
DC10,DC35,DC10->DC35,2023-01-07,362,1914,0.0,362.0,0.1891327063740857
DC10,DC36,DC10->DC36,2023-01-07,0,55,0.0,0.0,0.0
DC10,DC38,DC10->DC38,2023-01-07,0,15,0.0,0.0,0.0
DC10,DC4,DC10->DC4,2023-01-07,51145,129442,0.0,51145.0,0.3951190494584447
DC10,DC40,DC10->DC40,2023-01-07,0,969,0.0,0.0,0.0
DC10,DC47,DC10->DC47,2023-01-07,0,2,0.0,0.0,0.0
DC10,DC51,DC10->DC51,2023-01-07,0,1,0.0,0.0,0.0
DC10,DC59,DC10->DC59,2023-01-07,0,32,0.0,0.0,0.0
DC10,DC60,DC10->DC60,2023-01-07,0,59,0.0,0.0,0.0
DC10,DC61,DC10->DC61,2023-01-07,0,3,0.0,0.0,0.0
DC10,DC62,DC10->DC62,2023-01-07,13486,32318,0.0,13486.0,0.4172906739278421
DC10,DC64,DC10->DC64,2023-01-07,0,12,0.0,0.0,0.0
DC10,DC65,DC10->DC65,2023-01-07,0,19,0.0,0.0,0.0
DC10,DC67,DC10->DC67,2023-01-07,0,20,0.0,0.0,0.0
DC10,DC70,DC10->DC70,2023-01-07,689,3842,0.0,689.0,0.1793336803748048
DC10,DC73,DC10->DC73,2023-01-07,0,4,0.0,0.0,0.0
DC10,DC76,DC10->DC76,2023-01-07,0,8,0.0,0.0,0.0
DC10,DC78,DC10->DC78,2023-01-07,0,5,0.0,0.0,0.0
DC10,DC8,DC10->DC8,2023-01-07,1580,57645,0.0,1580.0,0.027409142163240523
DC10,DC80,DC10->DC80,2023-01-07,0,1,0.0,0.0,0.0
DC10,DC9,DC10->DC9,2023-01-07,0,15457,7066.0,7066.0,0.45713916025101897
DC11,DC10,DC11->DC10,2023-01-07,0,9190,0.0,0.0,0.0
DC11,DC14,DC11->DC14,2023-01-07,0,2947,0.0,0.0,0.0
DC11,DC22,DC11->DC22,2023-01-07,0,2,0.0,0.0,0.0
DC11,DC3,DC11->DC3,2023-01-07,0,1920,0.0,0.0,0.0
DC11,DC9,DC11->DC9,2023-01-07,0,99,0.0,0.0,0.0
DC12,DC10,DC12->DC10,2023-01-07,0,32,0.0,0.0,0.0
DC12,DC14,DC12->DC14,2023-01-07,0,48,0.0,0.0,0.0
DC12,DC23,DC12->DC23,2023-01-07,0,11,0.0,0.0,0.0
DC12,DC3,DC12->DC3,2023-01-07,0,21,0.0,0.0,0.0
DC12,DC32,DC12->DC32,2023-01-07,0,58,0.0,0.0,0.0
DC12,DC35,DC12->DC35,2023-01-07,0,548,0.0,0.0,0.0
DC12,DC36,DC12->DC36,2023-01-07,0,35,0.0,0.0,0.0
DC12,DC38,DC12->DC38,2023-01-07,0,9,0.0,0.0,0.0
DC12,DC40,DC12->DC40,2023-01-07,0,66,0.0,0.0,0.0
DC12,DC67,DC12->DC67,2023-01-07,0,9,0.0,0.0,0.0
DC12,DC9,DC12->DC9,2023-01-07,0,71,0.0,0.0,0.0
DC13,DC10,DC13->DC10,2023-01-07,0,400,0.0,0.0,0.0
DC13,DC14,DC13->DC14,2023-01-07,0,73,0.0,0.0,0.0
DC13,DC15,DC13->DC15,2023-01-07,0,2,0.0,0.0,0.0
DC13,DC3,DC13->DC3,2023-01-07,0,106,0.0,0.0,0.0
DC13,DC4,DC13->DC4,2023-01-07,0,437,0.0,0.0,0.0
DC13,DC62,DC13->DC62,2023-01-07,0,62,0.0,0.0,0.0
DC13,DC8,DC13->DC8,2023-01-07,0,7,0.0,0.0,0.0
DC13,DC9,DC13->DC9,2023-01-07,0,25,0.0,0.0,0.0
DC14,DC10,DC14->DC10,2023-01-07,30630,130118,0.0,30630.0,0.23540171229191964
DC14,DC11,DC14->DC11,2023-01-07,0,1,0.0,0.0,0.0
DC14,DC12,DC14->DC12,2023-01-07,0,6525,0.0,0.0,0.0
DC14,DC13,DC14->DC13,2023-01-07,0,6,0.0,0.0,0.0
DC14,DC17,DC14->DC17,2023-01-07,0,5,0.0,0.0,0.0
DC14,DC19,DC14->DC19,2023-01-07,0,2,0.0,0.0,0.0
DC14,DC20,DC14->DC20,2023-01-07,0,15,0.0,0.0,0.0
DC14,DC21,DC14->DC21,2023-01-07,0,17,0.0,0.0,0.0
DC14,DC22,DC14->DC22,2023-01-07,0,9,0.0,0.0,0.0
DC14,DC23,DC14->DC23,2023-01-07,0,57,0.0,0.0,0.0
DC14,DC25,DC14->DC25,2023-01-07,0,5,0.0,0.0,0.0
DC14,DC3,DC14->DC3,2023-01-07,2,98905,0.0,2.0,2.0221424599363026e-05
DC14,DC30,DC14->DC30,2023-01-07,0,7,0.0,0.0,0.0
DC14,DC32,DC14->DC32,2023-01-07,0,57,0.0,0.0,0.0
DC14,DC33,DC14->DC33,2023-01-07,0,27,0.0,0.0,0.0
DC14,DC34,DC14->DC34,2023-01-07,0,116,0.0,0.0,0.0
DC14,DC35,DC14->DC35,2023-01-07,466,16350,0.0,466.0,0.028501529051987766
DC14,DC36,DC14->DC36,2023-01-07,0,9,0.0,0.0,0.0
DC14,DC38,DC14->DC38,2023-01-07,0,2,0.0,0.0,0.0
DC14,DC4,DC14->DC4,2023-01-07,315,172448,0.0,315.0,0.0018266375951011319
DC14,DC40,DC14->DC40,2023-01-07,0,7135,0.0,0.0,0.0
DC14,DC43,DC14->DC43,2023-01-07,0,4,0.0,0.0,0.0
DC14,DC61,DC14->DC61,2023-01-07,0,10,0.0,0.0,0.0
DC14,DC62,DC14->DC62,2023-01-07,28407,124891,15409.0,43816.0,0.3508339271845049
DC14,DC64,DC14->DC64,2023-01-07,0,45,0.0,0.0,0.0
DC14,DC65,DC14->DC65,2023-01-07,0,121,0.0,0.0,0.0
DC14,DC67,DC14->DC67,2023-01-07,0,2,0.0,0.0,0.0
DC14,DC70,DC14->DC70,2023-01-07,364,9442,0.0,364.0,0.038551154416437194
DC14,DC76,DC14->DC76,2023-01-07,0,2,0.0,0.0,0.0
DC14,DC78,DC14->DC78,2023-01-07,0,4,0.0,0.0,0.0
DC14,DC8,DC14->DC8,2023-01-07,133854,505833,0.0,133854.0,0.2646209322048977
DC14,DC81,DC14->DC81,2023-01-07,0,297,0.0,0.0,0.0
DC14,DC9,DC14->DC9,2023-01-07,0,439995,0.0,0.0,0.0
DC15,DC10,DC15->DC10,2023-01-07,7227,29502,0.0,7227.0,0.24496644295302014
DC15,DC12,DC15->DC12,2023-01-07,0,393,0.0,0.0,0.0
DC15,DC13,DC15->DC13,2023-01-07,0,2,0.0,0.0,0.0
DC15,DC14,DC15->DC14,2023-01-07,6801,20046,0.0,6801.0,0.3392696797366058
DC15,DC3,DC15->DC3,2023-01-07,0,10570,0.0,0.0,0.0
DC15,DC32,DC15->DC32,2023-01-07,0,224,0.0,0.0,0.0
DC15,DC33,DC15->DC33,2023-01-07,0,56,0.0,0.0,0.0
DC15,DC34,DC15->DC34,2023-01-07,0,6,0.0,0.0,0.0
DC15,DC35,DC15->DC35,2023-01-07,9,951,0.0,9.0,0.00946372239747634
DC15,DC4,DC15->DC4,2023-01-07,51,50163,0.0,51.0,0.001016685604927935
DC15,DC40,DC15->DC40,2023-01-07,0,220,0.0,0.0,0.0
DC15,DC62,DC15->DC62,2023-01-07,7004,86858,0.0,7004.0,0.08063736213129476
DC15,DC64,DC15->DC64,2023-01-07,0,22,0.0,0.0,0.0
DC15,DC65,DC15->DC65,2023-01-07,0,31,0.0,0.0,0.0
DC15,DC70,DC15->DC70,2023-01-07,23,499,0.0,23.0,0.04609218436873747
DC15,DC8,DC15->DC8,2023-01-07,16663,62804,0.0,16663.0,0.2653174957009108
DC15,DC81,DC15->DC81,2023-01-07,0,17,0.0,0.0,0.0
DC15,DC9,DC15->DC9,2023-01-07,0,80194,3209.0,3209.0,0.04001546250342918
DC16,DC10,DC16->DC10,2023-01-07,0,12672,0.0,0.0,0.0
DC16,DC14,DC16->DC14,2023-01-07,0,7817,0.0,0.0,0.0
DC16,DC35,DC16->DC35,2023-01-07,0,3837,0.0,0.0,0.0
DC16,DC4,DC16->DC4,2023-01-07,0,13017,0.0,0.0,0.0
DC16,DC62,DC16->DC62,2023-01-07,0,2,0.0,0.0,0.0
DC16,DC70,DC16->DC70,2023-01-07,0,297,0.0,0.0,0.0
DC16,DC8,DC16->DC8,2023-01-07,0,37,0.0,0.0,0.0
DC17,DC10,DC17->DC10,2023-01-07,16904,235018,0.0,16904.0,0.07192640563701504
DC17,DC12,DC17->DC12,2023-01-07,0,2032,0.0,0.0,0.0
DC17,DC14,DC17->DC14,2023-01-07,12012,62548,8168.0,20180.0,0.32263221845622564
DC17,DC20,DC17->DC20,2023-01-07,0,1,0.0,0.0,0.0
DC17,DC29,DC17->DC29,2023-01-07,0,9,0.0,0.0,0.0
DC17,DC3,DC17->DC3,2023-01-07,0,50008,0.0,0.0,0.0
DC17,DC32,DC17->DC32,2023-01-07,0,17,0.0,0.0,0.0
DC17,DC34,DC17->DC34,2023-01-07,0,27,0.0,0.0,0.0
DC17,DC35,DC17->DC35,2023-01-07,65,10831,0.0,65.0,0.0060012925860954665
DC17,DC4,DC17->DC4,2023-01-07,43025,245699,0.0,43025.0,0.17511263782107375
DC17,DC40,DC17->DC40,2023-01-07,0,1332,0.0,0.0,0.0
DC17,DC61,DC17->DC61,2023-01-07,0,2,0.0,0.0,0.0
DC17,DC62,DC17->DC62,2023-01-07,15313,58564,0.0,15313.0,0.26147462605013316
DC17,DC64,DC17->DC64,2023-01-07,0,10,0.0,0.0,0.0
DC17,DC65,DC17->DC65,2023-01-07,0,2,0.0,0.0,0.0
DC17,DC70,DC17->DC70,2023-01-07,64,3561,0.0,64.0,0.017972479640550407
DC17,DC8,DC17->DC8,2023-01-07,153,64262,0.0,153.0,0.0023808782795431203
DC17,DC81,DC17->DC81,2023-01-07,0,113,0.0,0.0,0.0
DC17,DC9,DC17->DC9,2023-01-07,0,1205,0.0,0.0,0.0
DC18,DC10,DC18->DC10,2023-01-07,0,27506,0.0,0.0,0.0
DC18,DC14,DC18->DC14,2023-01-07,0,15975,0.0,0.0,0.0
DC18,DC23,DC18->DC23,2023-01-07,0,4,0.0,0.0,0.0
DC18,DC4,DC18->DC4,2023-01-07,0,43771,0.0,0.0,0.0
DC18,DC62,DC18->DC62,2023-01-07,0,9843,0.0,0.0,0.0
DC18,DC8,DC18->DC8,2023-01-07,0,135,0.0,0.0,0.0
DC19,DC10,DC19->DC10,2023-01-07,13205,161384,0.0,13205.0,0.08182347692460219
DC19,DC12,DC19->DC12,2023-01-07,0,54761,0.0,0.0,0.0
DC19,DC14,DC19->DC14,2023-01-07,11277,62233,0.0,11277.0,0.18120611251265406
DC19,DC20,DC19->DC20,2023-01-07,0,2,0.0,0.0,0.0
DC19,DC3,DC19->DC3,2023-01-07,0,48217,0.0,0.0,0.0
DC19,DC32,DC19->DC32,2023-01-07,0,376,0.0,0.0,0.0
DC19,DC34,DC19->DC34,2023-01-07,0,4,0.0,0.0,0.0
DC19,DC35,DC19->DC35,2023-01-07,214,26184,0.0,214.0,0.00817293003360831
DC19,DC36,DC19->DC36,2023-01-07,0,3,0.0,0.0,0.0
DC19,DC4,DC19->DC4,2023-01-07,41470,248759,0.0,41470.0,0.16670753620974518
DC19,DC40,DC19->DC40,2023-01-07,0,9969,0.0,0.0,0.0
DC19,DC62,DC19->DC62,2023-01-07,12960,65493,5338.0,18298.0,0.2793886369535676
DC19,DC64,DC19->DC64,2023-01-07,0,15,0.0,0.0,0.0
DC19,DC65,DC19->DC65,2023-01-07,0,9577,0.0,0.0,0.0
DC19,DC70,DC19->DC70,2023-01-07,551,13506,0.0,551.0,0.04079668295572338
DC19,DC8,DC19->DC8,2023-01-07,132,67105,0.0,132.0,0.0019670665375158334
DC19,DC81,DC19->DC81,2023-01-07,0,1202,0.0,0.0,0.0
DC19,DC9,DC19->DC9,2023-01-07,0,918,0.0,0.0,0.0
DC2,DC10,DC2->DC10,2023-01-07,0,41,0.0,0.0,0.0
DC2,DC14,DC2->DC14,2023-01-07,0,34,0.0,0.0,0.0
DC2,DC3,DC2->DC3,2023-01-07,0,30,0.0,0.0,0.0
DC2,DC4,DC2->DC4,2023-01-07,0,106,0.0,0.0,0.0
DC2,DC62,DC2->DC62,2023-01-07,0,29,0.0,0.0,0.0
DC2,DC8,DC2->DC8,2023-01-07,0,62,0.0,0.0,0.0
DC2,DC9,DC2->DC9,2023-01-07,0,164,0.0,0.0,0.0
DC20,DC10,DC20->DC10,2023-01-07,10699,130546,0.0,10699.0,0.08195578570005975
DC20,DC12,DC20->DC12,2023-01-07,0,4561,0.0,0.0,0.0
DC20,DC14,DC20->DC14,2023-01-07,7242,30502,5484.0,12726.0,0.41721854304635764
DC20,DC3,DC20->DC3,2023-01-07,0,14978,0.0,0.0,0.0
DC20,DC32,DC20->DC32,2023-01-07,0,111,0.0,0.0,0.0
DC20,DC33,DC20->DC33,2023-01-07,0,4,0.0,0.0,0.0
DC20,DC34,DC20->DC34,2023-01-07,0,4,0.0,0.0,0.0
DC20,DC35,DC20->DC35,2023-01-07,11,13082,0.0,11.0,0.0008408500229322734
DC20,DC4,DC20->DC4,2023-01-07,25223,121795,0.0,25223.0,0.20709388726959235
DC20,DC40,DC20->DC40,2023-01-07,0,460,0.0,0.0,0.0
DC20,DC62,DC20->DC62,2023-01-07,9601,32057,0.0,9601.0,0.29949776959790375
DC20,DC64,DC20->DC64,2023-01-07,0,2,0.0,0.0,0.0
DC20,DC65,DC20->DC65,2023-01-07,0,2,0.0,0.0,0.0
DC20,DC70,DC20->DC70,2023-01-07,12,7097,0.0,12.0,0.0016908552909680147
DC20,DC76,DC20->DC76,2023-01-07,0,3,0.0,0.0,0.0
DC20,DC8,DC20->DC8,2023-01-07,117,51548,0.0,117.0,0.002269729184449445
DC20,DC81,DC20->DC81,2023-01-07,0,63,0.0,0.0,0.0
DC20,DC9,DC20->DC9,2023-01-07,0,857,0.0,0.0,0.0
DC21,DC10,DC21->DC10,2023-01-07,0,116981,0.0,0.0,0.0
DC21,DC12,DC21->DC12,2023-01-07,0,1767,0.0,0.0,0.0
DC21,DC14,DC21->DC14,2023-01-07,0,32070,0.0,0.0,0.0
DC21,DC20,DC21->DC20,2023-01-07,0,3,0.0,0.0,0.0
DC21,DC3,DC21->DC3,2023-01-07,0,19506,0.0,0.0,0.0
DC21,DC32,DC21->DC32,2023-01-07,0,40,0.0,0.0,0.0
DC21,DC33,DC21->DC33,2023-01-07,0,3,0.0,0.0,0.0
DC21,DC34,DC21->DC34,2023-01-07,0,4,0.0,0.0,0.0
DC21,DC35,DC21->DC35,2023-01-07,0,6143,0.0,0.0,0.0
DC21,DC4,DC21->DC4,2023-01-07,0,130684,0.0,0.0,0.0
DC21,DC40,DC21->DC40,2023-01-07,0,430,0.0,0.0,0.0
DC21,DC62,DC21->DC62,2023-01-07,0,32645,0.0,0.0,0.0
DC21,DC70,DC21->DC70,2023-01-07,0,3085,0.0,0.0,0.0
DC21,DC76,DC21->DC76,2023-01-07,0,13,0.0,0.0,0.0
DC21,DC8,DC21->DC8,2023-01-07,0,512,0.0,0.0,0.0
DC21,DC81,DC21->DC81,2023-01-07,0,111,0.0,0.0,0.0
DC21,DC9,DC21->DC9,2023-01-07,0,941,0.0,0.0,0.0
DC22,DC10,DC22->DC10,2023-01-07,11056,235177,0.0,11056.0,0.04701139992431232
DC22,DC12,DC22->DC12,2023-01-07,0,13984,0.0,0.0,0.0
DC22,DC13,DC22->DC13,2023-01-07,0,1,0.0,0.0,0.0
DC22,DC14,DC22->DC14,2023-01-07,11593,65525,0.0,11593.0,0.17692483784814955
DC22,DC20,DC22->DC20,2023-01-07,0,2,0.0,0.0,0.0
DC22,DC21,DC22->DC21,2023-01-07,0,3,0.0,0.0,0.0
DC22,DC3,DC22->DC3,2023-01-07,21,29865,5674.0,5695.0,0.19069144483509123
DC22,DC32,DC22->DC32,2023-01-07,0,444,0.0,0.0,0.0
DC22,DC34,DC22->DC34,2023-01-07,0,7,0.0,0.0,0.0
DC22,DC35,DC22->DC35,2023-01-07,1108,101949,0.0,1108.0,0.010868179187633033
DC22,DC4,DC22->DC4,2023-01-07,42174,236073,0.0,42174.0,0.1786481300275762
DC22,DC40,DC22->DC40,2023-01-07,0,5427,0.0,0.0,0.0
DC22,DC62,DC22->DC62,2023-01-07,11745,60403,0.0,11745.0,0.1944439845703028
DC22,DC64,DC22->DC64,2023-01-07,0,41048,0.0,0.0,0.0
DC22,DC65,DC22->DC65,2023-01-07,0,17537,0.0,0.0,0.0
DC22,DC70,DC22->DC70,2023-01-07,1146,16266,0.0,1146.0,0.07045370711914423
DC22,DC76,DC22->DC76,2023-01-07,0,9,0.0,0.0,0.0
DC22,DC8,DC22->DC8,2023-01-07,158,29845,0.0,158.0,0.005294019098676495
DC22,DC81,DC22->DC81,2023-01-07,0,1290,0.0,0.0,0.0
DC22,DC9,DC22->DC9,2023-01-07,0,885,0.0,0.0,0.0
DC23,DC10,DC23->DC10,2023-01-07,13560,201943,0.0,13560.0,0.06714766047845185
DC23,DC12,DC23->DC12,2023-01-07,0,15956,0.0,0.0,0.0
DC23,DC14,DC23->DC14,2023-01-07,11826,32755,0.0,11826.0,0.3610441154022287
DC23,DC18,DC23->DC18,2023-01-07,0,55,0.0,0.0,0.0
DC23,DC20,DC23->DC20,2023-01-07,0,1,0.0,0.0,0.0
DC23,DC29,DC23->DC29,2023-01-07,0,11,0.0,0.0,0.0
DC23,DC3,DC23->DC3,2023-01-07,2,52355,0.0,2.0,3.8200744914525836e-05
DC23,DC32,DC23->DC32,2023-01-07,0,604,0.0,0.0,0.0
DC23,DC34,DC23->DC34,2023-01-07,0,27,0.0,0.0,0.0
DC23,DC35,DC23->DC35,2023-01-07,1797,62887,0.0,1797.0,0.028575063208612275
DC23,DC36,DC23->DC36,2023-01-07,0,2,0.0,0.0,0.0
DC23,DC4,DC23->DC4,2023-01-07,45938,204894,0.0,45938.0,0.22420373461399554
DC23,DC40,DC23->DC40,2023-01-07,0,6623,0.0,0.0,0.0
DC23,DC6,DC23->DC6,2023-01-07,0,8,0.0,0.0,0.0
DC23,DC62,DC23->DC62,2023-01-07,13260,58889,7633.0,20893.0,0.35478612304505086
DC23,DC64,DC23->DC64,2023-01-07,0,49704,0.0,0.0,0.0
DC23,DC65,DC23->DC65,2023-01-07,0,24741,0.0,0.0,0.0
DC23,DC70,DC23->DC70,2023-01-07,3506,32263,0.0,3506.0,0.10866937358584136
DC23,DC8,DC23->DC8,2023-01-07,137,30936,0.0,137.0,0.004428497543315231
DC23,DC81,DC23->DC81,2023-01-07,0,2581,0.0,0.0,0.0
DC23,DC9,DC23->DC9,2023-01-07,0,2667,0.0,0.0,0.0
DC24,DC10,DC24->DC10,2023-01-07,0,10,0.0,0.0,0.0
DC24,DC14,DC24->DC14,2023-01-07,0,5,0.0,0.0,0.0
DC24,DC3,DC24->DC3,2023-01-07,0,3,0.0,0.0,0.0
DC24,DC4,DC24->DC4,2023-01-07,0,6,0.0,0.0,0.0
DC24,DC62,DC24->DC62,2023-01-07,0,6,0.0,0.0,0.0
DC24,DC8,DC24->DC8,2023-01-07,0,6,0.0,0.0,0.0
DC24,DC9,DC24->DC9,2023-01-07,0,36,0.0,0.0,0.0
DC25,DC10,DC25->DC10,2023-01-07,9371,64006,0.0,9371.0,0.14640814923600912
DC25,DC12,DC25->DC12,2023-01-07,0,1048,0.0,0.0,0.0
DC25,DC14,DC25->DC14,2023-01-07,5884,30950,0.0,5884.0,0.19011308562197093
DC25,DC3,DC25->DC3,2023-01-07,9,32591,0.0,9.0,0.0002761498573225737
DC25,DC32,DC25->DC32,2023-01-07,0,25,0.0,0.0,0.0
DC25,DC33,DC25->DC33,2023-01-07,0,2,0.0,0.0,0.0
DC25,DC34,DC25->DC34,2023-01-07,0,4,0.0,0.0,0.0
DC25,DC35,DC25->DC35,2023-01-07,83,4679,0.0,83.0,0.017738833083992305
DC25,DC4,DC25->DC4,2023-01-07,50,50932,0.0,50.0,0.000981701091651614
DC25,DC40,DC25->DC40,2023-01-07,0,2274,0.0,0.0,0.0
DC25,DC62,DC25->DC62,2023-01-07,9138,30541,0.0,9138.0,0.2992043482531679
DC25,DC64,DC25->DC64,2023-01-07,0,53912,0.0,0.0,0.0
DC25,DC65,DC25->DC65,2023-01-07,0,27209,4200.0,4200.0,0.15436068947774634
DC25,DC70,DC25->DC70,2023-01-07,76,3338,0.0,76.0,0.022768124625524265
DC25,DC76,DC25->DC76,2023-01-07,0,5,0.0,0.0,0.0
DC25,DC8,DC25->DC8,2023-01-07,20440,93188,0.0,20440.0,0.21934154612181825
DC25,DC81,DC25->DC81,2023-01-07,0,219,0.0,0.0,0.0
DC25,DC9,DC25->DC9,2023-01-07,0,126037,0.0,0.0,0.0
DC26,DC10,DC26->DC10,2023-01-07,3066,8082,0.0,3066.0,0.3793615441722346
DC26,DC12,DC26->DC12,2023-01-07,0,177,0.0,0.0,0.0
DC26,DC14,DC26->DC14,2023-01-07,2514,7471,0.0,2514.0,0.3365011377325659
DC26,DC3,DC26->DC3,2023-01-07,0,8033,0.0,0.0,0.0
DC26,DC32,DC26->DC32,2023-01-07,0,113,0.0,0.0,0.0
DC26,DC34,DC26->DC34,2023-01-07,0,2,0.0,0.0,0.0
DC26,DC35,DC26->DC35,2023-01-07,0,8989,0.0,0.0,0.0
DC26,DC4,DC26->DC4,2023-01-07,12,26989,0.0,12.0,0.0004446255882026011
DC26,DC40,DC26->DC40,2023-01-07,0,600,0.0,0.0,0.0
DC26,DC62,DC26->DC62,2023-01-07,3141,27667,0.0,3141.0,0.11352875266563053
DC26,DC64,DC26->DC64,2023-01-07,0,11493,0.0,0.0,0.0
DC26,DC65,DC26->DC65,2023-01-07,0,11121,0.0,0.0,0.0
DC26,DC70,DC26->DC70,2023-01-07,0,1976,0.0,0.0,0.0
DC26,DC8,DC26->DC8,2023-01-07,7278,31380,1556.0,8834.0,0.28151688973868705
DC26,DC81,DC26->DC81,2023-01-07,0,25,0.0,0.0,0.0
DC26,DC9,DC26->DC9,2023-01-07,0,27912,0.0,0.0,0.0
DC27,DC10,DC27->DC10,2023-01-07,7925,16133,0.0,7925.0,0.4912291576272237
DC27,DC14,DC27->DC14,2023-01-07,5709,15669,0.0,5709.0,0.3643499904269577
DC27,DC3,DC27->DC3,2023-01-07,0,36,0.0,0.0,0.0
DC27,DC32,DC27->DC32,2023-01-07,0,323,0.0,0.0,0.0
DC27,DC34,DC27->DC34,2023-01-07,0,3,0.0,0.0,0.0
DC27,DC35,DC27->DC35,2023-01-07,23,1317,0.0,23.0,0.017463933181473046
DC27,DC4,DC27->DC4,2023-01-07,81,237,0.0,81.0,0.34177215189873417
DC27,DC40,DC27->DC40,2023-01-07,0,657,0.0,0.0,0.0
DC27,DC62,DC27->DC62,2023-01-07,6132,22037,0.0,6132.0,0.27825929119208603
DC27,DC64,DC27->DC64,2023-01-07,0,10905,0.0,0.0,0.0
DC27,DC65,DC27->DC65,2023-01-07,0,16032,2964.0,2964.0,0.18488023952095808
DC27,DC70,DC27->DC70,2023-01-07,21,2043,0.0,21.0,0.010279001468428781
DC27,DC8,DC27->DC8,2023-01-07,19849,57062,0.0,19849.0,0.3478497073358803
DC27,DC9,DC27->DC9,2023-01-07,0,3,0.0,0.0,0.0
DC28,DC10,DC28->DC10,2023-01-07,5373,60448,0.0,5373.0,0.0888863155108523
DC28,DC12,DC28->DC12,2023-01-07,0,1018,0.0,0.0,0.0
DC28,DC14,DC28->DC14,2023-01-07,4036,15076,0.0,4036.0,0.26771026797559033
DC28,DC20,DC28->DC20,2023-01-07,0,2,0.0,0.0,0.0
DC28,DC23,DC28->DC23,2023-01-07,0,5,0.0,0.0,0.0
DC28,DC3,DC28->DC3,2023-01-07,0,7645,0.0,0.0,0.0
DC28,DC32,DC28->DC32,2023-01-07,0,119,0.0,0.0,0.0
DC28,DC34,DC28->DC34,2023-01-07,0,4,0.0,0.0,0.0
DC28,DC35,DC28->DC35,2023-01-07,17,1836,0.0,17.0,0.009259259259259259
DC28,DC4,DC28->DC4,2023-01-07,12731,59369,0.0,12731.0,0.21443851168118042
DC28,DC40,DC28->DC40,2023-01-07,0,1251,0.0,0.0,0.0
DC28,DC62,DC28->DC62,2023-01-07,4060,16141,0.0,4060.0,0.25153336224521405
DC28,DC64,DC28->DC64,2023-01-07,0,7946,2506.0,2506.0,0.3153788069468915
DC28,DC65,DC28->DC65,2023-01-07,0,5355,0.0,0.0,0.0
DC28,DC70,DC28->DC70,2023-01-07,13,3735,0.0,13.0,0.0034805890227576973
DC28,DC8,DC28->DC8,2023-01-07,87,24604,0.0,87.0,0.003536010404812226
DC28,DC81,DC28->DC81,2023-01-07,0,89,0.0,0.0,0.0
DC28,DC9,DC28->DC9,2023-01-07,0,223,0.0,0.0,0.0
DC29,DC36,DC29->DC36,2023-01-07,0,1,0.0,0.0,0.0
DC29,DC9,DC29->DC9,2023-01-07,0,1,0.0,0.0,0.0
DC3,DC10,DC3->DC10,2023-01-07,0,2011,0.0,0.0,0.0
DC3,DC12,DC3->DC12,2023-01-07,0,469,0.0,0.0,0.0
DC3,DC14,DC3->DC14,2023-01-07,0,242,0.0,0.0,0.0
DC3,DC19,DC3->DC19,2023-01-07,0,2,0.0,0.0,0.0
DC3,DC21,DC3->DC21,2023-01-07,0,21,0.0,0.0,0.0
DC3,DC22,DC3->DC22,2023-01-07,0,32,0.0,0.0,0.0
DC3,DC23,DC3->DC23,2023-01-07,0,24,0.0,0.0,0.0
DC3,DC28,DC3->DC28,2023-01-07,0,2,0.0,0.0,0.0
DC3,DC30,DC3->DC30,2023-01-07,0,1,0.0,0.0,0.0
DC3,DC35,DC3->DC35,2023-01-07,0,14,0.0,0.0,0.0
DC3,DC36,DC3->DC36,2023-01-07,0,20,0.0,0.0,0.0
DC3,DC38,DC3->DC38,2023-01-07,0,11,0.0,0.0,0.0
DC3,DC4,DC3->DC4,2023-01-07,0,24,0.0,0.0,0.0
DC3,DC40,DC3->DC40,2023-01-07,0,112,0.0,0.0,0.0
DC3,DC8,DC3->DC8,2023-01-07,0,3,0.0,0.0,0.0
DC3,DC9,DC3->DC9,2023-01-07,0,46,0.0,0.0,0.0
DC30,DC10,DC30->DC10,2023-01-07,3521,24659,0.0,3521.0,0.14278762318017763
DC30,DC12,DC30->DC12,2023-01-07,0,1036,0.0,0.0,0.0
DC30,DC14,DC30->DC14,2023-01-07,2895,7599,0.0,2895.0,0.3809711804184761
DC30,DC23,DC30->DC23,2023-01-07,0,6,0.0,0.0,0.0
DC30,DC3,DC30->DC3,2023-01-07,0,4008,0.0,0.0,0.0
DC30,DC32,DC30->DC32,2023-01-07,0,127,0.0,0.0,0.0
DC30,DC34,DC30->DC34,2023-01-07,0,4,0.0,0.0,0.0
DC30,DC35,DC30->DC35,2023-01-07,34,30682,1736.0,1770.0,0.05768854703083241
DC30,DC4,DC30->DC4,2023-01-07,10831,29680,0.0,10831.0,0.3649258760107817
DC30,DC40,DC30->DC40,2023-01-07,0,781,0.0,0.0,0.0
DC30,DC62,DC30->DC62,2023-01-07,3578,9368,0.0,3578.0,0.38193851409052093
DC30,DC64,DC30->DC64,2023-01-07,0,12926,0.0,0.0,0.0
DC30,DC65,DC30->DC65,2023-01-07,0,6456,0.0,0.0,0.0
DC30,DC67,DC30->DC67,2023-01-07,0,1,0.0,0.0,0.0
DC30,DC70,DC30->DC70,2023-01-07,95,15005,0.0,95.0,0.006331222925691436
DC30,DC8,DC30->DC8,2023-01-07,45,9740,0.0,45.0,0.004620123203285421
