方案,日期,原线路,需求类型,替代场地1,替代场地2,替代线路,分流货量
min_changed_plus_2,2023-01-09,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1848
min_changed_plus_2,2023-01-09,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1358
min_changed_plus_2,2023-01-09,DC5->DC10,出DC5,DC20,DC10,DC20->DC10,163
min_changed_plus_2,2023-01-09,DC5->DC14,出DC5,DC50,DC14,DC50->DC14,113
min_changed_plus_2,2023-01-09,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1701
min_changed_plus_2,2023-01-09,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,139
min_changed_plus_2,2023-01-09,DC5->DC70,出DC5,DC35,DC70,DC35->DC70,2
min_changed_plus_2,2023-01-09,DC5->DC8,出DC5,DC68,DC8,DC68->DC8,8
min_changed_plus_2,2023-01-09,DC50->DC5,入DC5,DC50,DC14,DC50->DC14,798
min_changed_plus_2,2023-01-09,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3343
min_changed_plus_2,2023-01-09,DC52->DC5,入DC5,DC52,DC35,DC52->DC35,53
min_changed_plus_2,2023-01-09,DC53->DC5,入DC5,DC53,DC8,DC53->DC8,423
min_changed_plus_2,2023-01-09,DC55->DC5,入DC5,DC55,DC4,DC55->DC4,45
min_changed_plus_2,2023-01-09,DC59->DC5,入DC5,DC59,DC64,DC59->DC64,409
min_changed_plus_2,2023-01-09,DC60->DC5,入DC5,DC60,DC14,DC60->DC14,1281
min_changed_plus_2,2023-01-09,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6100
min_changed_plus_2,2023-01-09,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,118
min_changed_plus_2,2023-01-09,DC69->DC5,入DC5,DC69,DC10,DC69->DC10,29
min_changed_plus_2,2023-01-09,DC7->DC5,入DC5,DC7,DC3,DC7->DC3,156
min_changed_plus_2,2023-01-09,DC71->DC5,入DC5,DC71,DC35,DC71->DC35,65
min_changed_plus_2,2023-01-09,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3702
min_changed_plus_2,2023-01-09,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8198
min_changed_plus_5,2023-01-09,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7507
min_changed_plus_5,2023-01-09,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15524
min_changed_plus_5,2023-01-09,DC15->DC5,入DC5,DC15,DC62,DC15->DC62,3237
min_changed_plus_5,2023-01-09,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8413
min_changed_plus_5,2023-01-09,DC19->DC5,入DC5,DC19,DC4,DC19->DC4,5258
min_changed_plus_5,2023-01-09,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5497
min_changed_plus_5,2023-01-09,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5476
min_changed_plus_5,2023-01-09,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7946
min_changed_plus_5,2023-01-09,DC25->DC5,入DC5,DC25,DC64,DC25->DC64,4660
min_changed_plus_5,2023-01-09,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1581
min_changed_plus_5,2023-01-09,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,3040
min_changed_plus_5,2023-01-09,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2496
min_changed_plus_5,2023-01-09,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1611
min_changed_plus_5,2023-01-09,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,155
min_changed_plus_5,2023-01-09,DC34->DC5,入DC5,DC34,DC4,DC34->DC4,15
min_changed_plus_5,2023-01-09,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,7472
min_changed_plus_5,2023-01-09,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2761
min_changed_plus_5,2023-01-09,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,10
min_changed_plus_5,2023-01-09,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,9
min_changed_plus_5,2023-01-09,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,410
min_changed_plus_5,2023-01-09,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,880
min_changed_plus_5,2023-01-09,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,3102
min_changed_plus_5,2023-01-09,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,1014
min_changed_plus_5,2023-01-09,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1848
min_changed_plus_5,2023-01-09,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1358
min_changed_plus_5,2023-01-09,DC5->DC10,出DC5,DC20,DC10,DC20->DC10,163
min_changed_plus_5,2023-01-09,DC5->DC14,出DC5,DC50,DC14,DC50->DC14,113
min_changed_plus_5,2023-01-09,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1701
min_changed_plus_5,2023-01-09,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,139
min_changed_plus_5,2023-01-09,DC5->DC70,出DC5,DC35,DC70,DC35->DC70,2
min_changed_plus_5,2023-01-09,DC5->DC8,出DC5,DC68,DC8,DC68->DC8,8
min_changed_plus_5,2023-01-09,DC50->DC5,入DC5,DC50,DC14,DC50->DC14,798
min_changed_plus_5,2023-01-09,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3343
min_changed_plus_5,2023-01-09,DC52->DC5,入DC5,DC52,DC35,DC52->DC35,53
min_changed_plus_5,2023-01-09,DC53->DC5,入DC5,DC53,DC8,DC53->DC8,423
min_changed_plus_5,2023-01-09,DC55->DC5,入DC5,DC55,DC4,DC55->DC4,45
min_changed_plus_5,2023-01-09,DC59->DC5,入DC5,DC59,DC64,DC59->DC64,409
min_changed_plus_5,2023-01-09,DC60->DC5,入DC5,DC60,DC14,DC60->DC14,1281
min_changed_plus_5,2023-01-09,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6100
min_changed_plus_5,2023-01-09,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,118
min_changed_plus_5,2023-01-09,DC69->DC5,入DC5,DC69,DC10,DC69->DC10,29
min_changed_plus_5,2023-01-09,DC7->DC5,入DC5,DC7,DC3,DC7->DC3,156
min_changed_plus_5,2023-01-09,DC71->DC5,入DC5,DC71,DC35,DC71->DC35,65
min_changed_plus_5,2023-01-09,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3702
min_changed_plus_5,2023-01-09,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8198
min_changed_plus_0,2023-01-10,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7494
min_changed_plus_0,2023-01-10,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15384
min_changed_plus_0,2023-01-10,DC15->DC5,入DC5,DC15,DC4,DC15->DC4,3185
min_changed_plus_0,2023-01-10,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8307
min_changed_plus_0,2023-01-10,DC19->DC5,入DC5,DC19,DC4,DC19->DC4,5212
min_changed_plus_0,2023-01-10,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5457
min_changed_plus_0,2023-01-10,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5439
min_changed_plus_0,2023-01-10,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7874
min_changed_plus_0,2023-01-10,DC25->DC5,入DC5,DC25,DC64,DC25->DC64,5488
min_changed_plus_0,2023-01-10,DC26->DC5,入DC5,DC26,DC4,DC26->DC4,1549
min_changed_plus_0,2023-01-10,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,3032
min_changed_plus_0,2023-01-10,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2483
min_changed_plus_0,2023-01-10,DC30->DC5,入DC5,DC30,DC10,DC30->DC10,1530
min_changed_plus_0,2023-01-10,DC31->DC5,入DC5,DC31,DC14,DC31->DC14,196
min_changed_plus_0,2023-01-10,DC34->DC5,入DC5,DC34,DC70,DC34->DC70,16
min_changed_plus_0,2023-01-10,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,7474
min_changed_plus_0,2023-01-10,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2731
min_changed_plus_0,2023-01-10,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,11
min_changed_plus_0,2023-01-10,DC40->DC5,入DC5,DC40,DC14,DC40->DC14,8
min_changed_plus_0,2023-01-10,DC42->DC5,入DC5,DC42,DC4,DC42->DC4,418
min_changed_plus_0,2023-01-10,DC43->DC5,入DC5,DC43,DC4,DC43->DC4,876
min_changed_plus_0,2023-01-10,DC44->DC5,入DC5,DC44,DC4,DC44->DC4,2976
min_changed_plus_0,2023-01-10,DC46->DC5,入DC5,DC46,DC14,DC46->DC14,1054
min_changed_plus_0,2023-01-10,DC47->DC5,入DC5,DC47,DC14,DC47->DC14,1860
min_changed_plus_0,2023-01-10,DC48->DC5,入DC5,DC48,DC62,DC48->DC62,1295
min_changed_plus_0,2023-01-10,DC5->DC10,出DC5,DC4,DC10,DC4->DC10,162
min_changed_plus_0,2023-01-10,DC5->DC14,出DC5,DC52,DC14,DC52->DC14,107
min_changed_plus_0,2023-01-10,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1900
min_changed_plus_0,2023-01-10,DC5->DC62,出DC5,DC38,DC62,DC38->DC62,155
min_changed_plus_0,2023-01-10,DC5->DC70,出DC5,DC34,DC70,DC34->DC70,2
min_changed_plus_0,2023-01-10,DC5->DC8,出DC5,DC27,DC8,DC27->DC8,8
min_changed_plus_0,2023-01-10,DC50->DC5,入DC5,DC50,DC10,DC50->DC10,882
min_changed_plus_0,2023-01-10,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3360
min_changed_plus_0,2023-01-10,DC52->DC5,入DC5,DC52,DC14,DC52->DC14,50
min_changed_plus_0,2023-01-10,DC53->DC5,入DC5,DC53,DC14,DC53->DC14,378
min_changed_plus_0,2023-01-10,DC55->DC5,入DC5,DC55,DC4,DC55->DC4,45
min_changed_plus_0,2023-01-10,DC59->DC5,入DC5,DC59,DC10,DC59->DC10,400
min_changed_plus_0,2023-01-10,DC60->DC5,入DC5,DC60,DC10,DC60->DC10,1257
min_changed_plus_0,2023-01-10,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6103
min_changed_plus_0,2023-01-10,DC68->DC5,入DC5,DC68,DC70,DC68->DC70,115
min_changed_plus_0,2023-01-10,DC69->DC5,入DC5,DC69,DC8,DC69->DC8,23
min_changed_plus_0,2023-01-10,DC7->DC5,入DC5,DC7,DC8,DC7->DC8,200
min_changed_plus_0,2023-01-10,DC71->DC5,入DC5,DC71,DC62,DC71->DC62,57
min_changed_plus_0,2023-01-10,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3704
min_changed_plus_0,2023-01-10,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8066
min_changed_plus_2,2023-01-10,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7494
min_changed_plus_2,2023-01-10,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15384
min_changed_plus_2,2023-01-10,DC15->DC5,入DC5,DC15,DC62,DC15->DC62,3185
min_changed_plus_2,2023-01-10,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8307
min_changed_plus_2,2023-01-10,DC19->DC5,入DC5,DC19,DC4,DC19->DC4,5212
min_changed_plus_2,2023-01-10,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5457
min_changed_plus_2,2023-01-10,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5439
min_changed_plus_2,2023-01-10,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7874
min_changed_plus_2,2023-01-10,DC25->DC5,入DC5,DC25,DC64,DC25->DC64,5488
min_changed_plus_2,2023-01-10,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1549
min_changed_plus_2,2023-01-10,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,3032
min_changed_plus_2,2023-01-10,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2483
min_changed_plus_2,2023-01-10,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1530
min_changed_plus_2,2023-01-10,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,196
min_changed_plus_2,2023-01-10,DC34->DC5,入DC5,DC34,DC4,DC34->DC4,16
min_changed_plus_2,2023-01-10,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,7474
min_changed_plus_2,2023-01-10,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2731
min_changed_plus_2,2023-01-10,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,11
min_changed_plus_2,2023-01-10,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,8
min_changed_plus_2,2023-01-10,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,418
min_changed_plus_2,2023-01-10,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,876
min_changed_plus_2,2023-01-10,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,2976
min_changed_plus_2,2023-01-10,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,1054
min_changed_plus_2,2023-01-10,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1860
min_changed_plus_2,2023-01-10,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1295
min_changed_plus_2,2023-01-10,DC5->DC10,出DC5,DC20,DC10,DC20->DC10,162
min_changed_plus_2,2023-01-10,DC5->DC14,出DC5,DC43,DC14,DC43->DC14,107
min_changed_plus_2,2023-01-10,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1900
min_changed_plus_2,2023-01-10,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,155
min_changed_plus_2,2023-01-10,DC5->DC70,出DC5,DC35,DC70,DC35->DC70,2
min_changed_plus_2,2023-01-10,DC5->DC8,出DC5,DC68,DC8,DC68->DC8,8
min_changed_plus_2,2023-01-10,DC50->DC5,入DC5,DC50,DC14,DC50->DC14,882
min_changed_plus_2,2023-01-10,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3360
min_changed_plus_2,2023-01-10,DC52->DC5,入DC5,DC52,DC35,DC52->DC35,50
min_changed_plus_2,2023-01-10,DC53->DC5,入DC5,DC53,DC8,DC53->DC8,378
min_changed_plus_2,2023-01-10,DC55->DC5,入DC5,DC55,DC4,DC55->DC4,45
min_changed_plus_2,2023-01-10,DC59->DC5,入DC5,DC59,DC64,DC59->DC64,400
min_changed_plus_2,2023-01-10,DC60->DC5,入DC5,DC60,DC14,DC60->DC14,1257
min_changed_plus_2,2023-01-10,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6103
min_changed_plus_2,2023-01-10,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,115
min_changed_plus_2,2023-01-10,DC69->DC5,入DC5,DC69,DC10,DC69->DC10,23
min_changed_plus_2,2023-01-10,DC7->DC5,入DC5,DC7,DC3,DC7->DC3,200
min_changed_plus_2,2023-01-10,DC71->DC5,入DC5,DC71,DC35,DC71->DC35,57
min_changed_plus_2,2023-01-10,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3704
min_changed_plus_2,2023-01-10,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8066
min_changed_plus_5,2023-01-10,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7494
min_changed_plus_5,2023-01-10,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15384
min_changed_plus_5,2023-01-10,DC15->DC5,入DC5,DC15,DC62,DC15->DC62,3185
min_changed_plus_5,2023-01-10,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8307
min_changed_plus_5,2023-01-10,DC19->DC5,入DC5,DC19,DC4,DC19->DC4,5212
min_changed_plus_5,2023-01-10,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5457
min_changed_plus_5,2023-01-10,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5439
min_changed_plus_5,2023-01-10,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7874
min_changed_plus_5,2023-01-10,DC25->DC5,入DC5,DC25,DC64,DC25->DC64,5488
min_changed_plus_5,2023-01-10,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1549
min_changed_plus_5,2023-01-10,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,3032
min_changed_plus_5,2023-01-10,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2483
min_changed_plus_5,2023-01-10,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1530
min_changed_plus_5,2023-01-10,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,196
min_changed_plus_5,2023-01-10,DC34->DC5,入DC5,DC34,DC4,DC34->DC4,16
min_changed_plus_5,2023-01-10,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,7474
min_changed_plus_5,2023-01-10,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2731
min_changed_plus_5,2023-01-10,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,11
min_changed_plus_5,2023-01-10,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,8
min_changed_plus_5,2023-01-10,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,418
min_changed_plus_5,2023-01-10,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,876
min_changed_plus_5,2023-01-10,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,2976
min_changed_plus_5,2023-01-10,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,1054
min_changed_plus_5,2023-01-10,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1860
min_changed_plus_5,2023-01-10,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1295
min_changed_plus_5,2023-01-10,DC5->DC10,出DC5,DC20,DC10,DC20->DC10,162
min_changed_plus_5,2023-01-10,DC5->DC14,出DC5,DC43,DC14,DC43->DC14,107
min_changed_plus_5,2023-01-10,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1900
min_changed_plus_5,2023-01-10,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,155
min_changed_plus_5,2023-01-10,DC5->DC70,出DC5,DC35,DC70,DC35->DC70,2
min_changed_plus_5,2023-01-10,DC5->DC8,出DC5,DC68,DC8,DC68->DC8,8
min_changed_plus_5,2023-01-10,DC50->DC5,入DC5,DC50,DC14,DC50->DC14,882
min_changed_plus_5,2023-01-10,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3360
min_changed_plus_5,2023-01-10,DC52->DC5,入DC5,DC52,DC35,DC52->DC35,50
min_changed_plus_5,2023-01-10,DC53->DC5,入DC5,DC53,DC8,DC53->DC8,378
min_changed_plus_5,2023-01-10,DC55->DC5,入DC5,DC55,DC4,DC55->DC4,45
min_changed_plus_5,2023-01-10,DC59->DC5,入DC5,DC59,DC64,DC59->DC64,400
min_changed_plus_5,2023-01-10,DC60->DC5,入DC5,DC60,DC14,DC60->DC14,1257
min_changed_plus_5,2023-01-10,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6103
min_changed_plus_5,2023-01-10,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,115
min_changed_plus_5,2023-01-10,DC69->DC5,入DC5,DC69,DC10,DC69->DC10,23
min_changed_plus_5,2023-01-10,DC7->DC5,入DC5,DC7,DC3,DC7->DC3,200
min_changed_plus_5,2023-01-10,DC71->DC5,入DC5,DC71,DC35,DC71->DC35,57
min_changed_plus_5,2023-01-10,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3704
min_changed_plus_5,2023-01-10,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8066
min_changed_plus_0,2023-01-11,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7536
min_changed_plus_0,2023-01-11,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15358
min_changed_plus_0,2023-01-11,DC15->DC5,入DC5,DC15,DC14,DC15->DC14,3220
min_changed_plus_0,2023-01-11,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8252
min_changed_plus_0,2023-01-11,DC19->DC5,入DC5,DC19,DC4,DC19->DC4,5272
min_changed_plus_0,2023-01-11,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5435
min_changed_plus_0,2023-01-11,DC22->DC5,入DC5,DC22,DC70,DC22->DC70,5465
min_changed_plus_0,2023-01-11,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7970
min_changed_plus_0,2023-01-11,DC25->DC5,入DC5,DC25,DC64,DC25->DC64,5287
min_changed_plus_0,2023-01-11,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1515
min_changed_plus_0,2023-01-11,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2819
min_changed_plus_0,2023-01-11,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2497
min_changed_plus_0,2023-01-11,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1707
min_changed_plus_0,2023-01-11,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,196
min_changed_plus_0,2023-01-11,DC34->DC5,入DC5,DC34,DC14,DC34->DC14,15
min_changed_plus_0,2023-01-11,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,7516
min_changed_plus_0,2023-01-11,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2723
min_changed_plus_0,2023-01-11,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,14
min_changed_plus_0,2023-01-11,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,9
min_changed_plus_0,2023-01-11,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,418
min_changed_plus_0,2023-01-11,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,860
min_changed_plus_0,2023-01-11,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,3072
min_changed_plus_0,2023-01-11,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,1133
min_changed_plus_0,2023-01-11,DC47->DC5,入DC5,DC47,DC4,DC47->DC4,1871
min_changed_plus_0,2023-01-11,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1372
min_changed_plus_0,2023-01-11,DC5->DC10,出DC5,DC4,DC10,DC4->DC10,164
min_changed_plus_0,2023-01-11,DC5->DC14,出DC5,DC50,DC14,DC50->DC14,106
min_changed_plus_0,2023-01-11,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1918
min_changed_plus_0,2023-01-11,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,165
min_changed_plus_0,2023-01-11,DC5->DC70,出DC5,DC22,DC70,DC22->DC70,2
min_changed_plus_0,2023-01-11,DC5->DC8,出DC5,DC68,DC8,DC68->DC8,8
min_changed_plus_0,2023-01-11,DC50->DC5,入DC5,DC50,DC14,DC50->DC14,837
min_changed_plus_0,2023-01-11,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3376
min_changed_plus_0,2023-01-11,DC52->DC5,入DC5,DC52,DC35,DC52->DC35,45
min_changed_plus_0,2023-01-11,DC53->DC5,入DC5,DC53,DC62,DC53->DC62,405
min_changed_plus_0,2023-01-11,DC55->DC5,入DC5,DC55,DC14,DC55->DC14,44
min_changed_plus_0,2023-01-11,DC59->DC5,入DC5,DC59,DC64,DC59->DC64,371
min_changed_plus_0,2023-01-11,DC60->DC5,入DC5,DC60,DC14,DC60->DC14,1272
min_changed_plus_0,2023-01-11,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6080
min_changed_plus_0,2023-01-11,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,113
min_changed_plus_0,2023-01-11,DC69->DC5,入DC5,DC69,DC62,DC69->DC62,23
min_changed_plus_0,2023-01-11,DC7->DC5,入DC5,DC7,DC3,DC7->DC3,196
min_changed_plus_0,2023-01-11,DC71->DC5,入DC5,DC71,DC8,DC71->DC8,62
min_changed_plus_0,2023-01-11,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3627
min_changed_plus_0,2023-01-11,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8080
min_changed_plus_2,2023-01-11,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7536
min_changed_plus_2,2023-01-11,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15358
min_changed_plus_2,2023-01-11,DC15->DC5,入DC5,DC15,DC14,DC15->DC14,3220
min_changed_plus_2,2023-01-11,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8252
min_changed_plus_2,2023-01-11,DC19->DC5,入DC5,DC19,DC4,DC19->DC4,5272
min_changed_plus_2,2023-01-11,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5435
min_changed_plus_2,2023-01-11,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5465
min_changed_plus_2,2023-01-11,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7970
min_changed_plus_2,2023-01-11,DC25->DC5,入DC5,DC25,DC64,DC25->DC64,5287
min_changed_plus_2,2023-01-11,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1515
min_changed_plus_2,2023-01-11,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2819
min_changed_plus_2,2023-01-11,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2497
min_changed_plus_2,2023-01-11,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1707
min_changed_plus_2,2023-01-11,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,196
min_changed_plus_2,2023-01-11,DC34->DC5,入DC5,DC34,DC4,DC34->DC4,15
min_changed_plus_2,2023-01-11,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,7516
min_changed_plus_2,2023-01-11,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2723
min_changed_plus_2,2023-01-11,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,14
min_changed_plus_2,2023-01-11,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,9
min_changed_plus_2,2023-01-11,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,418
min_changed_plus_2,2023-01-11,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,860
min_changed_plus_2,2023-01-11,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,3072
min_changed_plus_2,2023-01-11,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,1133
min_changed_plus_2,2023-01-11,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1871
min_changed_plus_2,2023-01-11,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1372
min_changed_plus_2,2023-01-11,DC5->DC10,出DC5,DC20,DC10,DC20->DC10,164
min_changed_plus_2,2023-01-11,DC5->DC14,出DC5,DC50,DC14,DC50->DC14,106
min_changed_plus_2,2023-01-11,DC5->DC4,出DC5,DC17,DC4,DC17->DC4,1918
min_changed_plus_2,2023-01-11,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,165
min_changed_plus_2,2023-01-11,DC5->DC70,出DC5,DC35,DC70,DC35->DC70,2
min_changed_plus_2,2023-01-11,DC5->DC8,出DC5,DC68,DC8,DC68->DC8,8
min_changed_plus_2,2023-01-11,DC50->DC5,入DC5,DC50,DC14,DC50->DC14,837
min_changed_plus_2,2023-01-11,DC51->DC5,入DC5,DC51,DC9,DC51->DC9,3376
min_changed_plus_2,2023-01-11,DC52->DC5,入DC5,DC52,DC35,DC52->DC35,45
min_changed_plus_2,2023-01-11,DC53->DC5,入DC5,DC53,DC8,DC53->DC8,405
min_changed_plus_2,2023-01-11,DC55->DC5,入DC5,DC55,DC4,DC55->DC4,44
min_changed_plus_2,2023-01-11,DC59->DC5,入DC5,DC59,DC64,DC59->DC64,371
min_changed_plus_2,2023-01-11,DC60->DC5,入DC5,DC60,DC14,DC60->DC14,1272
min_changed_plus_2,2023-01-11,DC62->DC5,入DC5,DC62,DC8,DC62->DC8,6080
min_changed_plus_2,2023-01-11,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,113
