"任务号码","任务gps 纬度","任务gps经度","任务标价","任务执行情况"
"A0543","23.1694339716979","112.907385715472","70","1"
"A0544","23.2615298960726","113.024751811431","75","1"
"A0545","23.1686518599911","112.893812550085","70","1"
"A0546","23.1632181205162","112.914899704195","70","1"
"A0547","23.0705795085387","112.84454078101","75","1"
"A0548","22.9042229182472","112.901982569526","75","1"
"A0549","23.038668502773","113.2034172001","70","1"
"A0550","23.2030049778886","113.171393135087","69.5","1"
"A0551","23.1701889270547","112.906063634338","70","1"
"A0552","22.8779429180473","113.226557750351","70.5","1"
"A0553","23.1882857509082","113.205158375788","68","1"
"A0554","23.1176526030152","113.177420842311","66.5","1"
"A0555","23.1465983899744","113.110448529325","67.5","1"
"A0556","23.1223276296192","113.191485208337","67","1"
"A0557","23.1673058447853","112.902415982172","70","1"
"A0558","23.1043540831342","113.199121080051","66.5","1"
"A0559","23.1858571842096","113.092755151871","75","1"
"A0560","23.0667704175712","113.142195274851","66.5","1"
"A0561","23.0440368254211","112.921450878294","71.5","1"
"A0562","22.8366157391784","113.000031758026","73","1"
"A0563","23.0070736517263","113.008964017539","73.5","1"
"A0564","22.9534378642144","112.971287414513","75","1"
"A0565","23.0782653874698","113.041381325849","70","1"
"A0566","23.1136000139085","113.015288870752","73.5","1"
"A0567","23.038668502773","113.2034172001","70","1"
"A0568","23.0695963041142","113.156188978369","66","1"
"A0569","22.903113126007","112.892336616166","73","1"
"A0570","23.0636965078897","113.135579080501","66.5","1"
"A0571","22.9105595649827","112.884142464646","75","1"
"A0572","23.0386304064782","113.170454746287","66.5","1"
"A0573","23.0657334258076","113.132115298896","66.5","1"
"A0574","23.1566635900953","112.904940835095","70","1"
"A0575","23.0705953200904","113.057661099931","66","0"
"A0576","23.0723987956829","113.089683174299","67.5","1"
"A0577","23.0379121696856","113.156351582446","65.5","1"
"A0578","22.8962453837208","112.88832892405","73.5","1"
"A0579","23.3355556593312","113.307528712027","67.5","1"
"A0580","23.0723987956829","113.089683174299","67.5","1"
"A0581","23.0681764740523","112.970763459859","72.5","1"
"A0582","23.0437280570501","113.147041134516","66","1"
"A0583","23.0396461884037","113.154622038916","65.5","1"
"A0584","22.9879600740101","113.017085872534","70","1"
"A0585","23.0968614013705","113.041882016009","73","1"
"A0586","23.0147948092885","113.165181581555","68","1"
"A0587","22.8245226834435","112.683258303145","75","1"
"A0588","23.0411249226136","113.137340153956","65.5","0"
"A0589","23.0002230812856","113.108061364898","67","0"
"A0590","22.9011991118098","112.885001154883","73","1"
"A0591","23.0067591551232","113.129028721165","65","1"
"A0592","23.0348060377823","113.088038588012","66","1"
"A0593","23.0348960488659","113.090144599704","66","0"
"A0594","23.0057363854141","112.970789906871","75","0"
"A0595","23.0390570488889","113.07259701903","66","0"
"A0596","22.9408169212329","113.062678084999","72.5","0"
"A0597","23.0407652953817","113.111573746807","65","0"
"A0598","23.0387395974308","113.10737208987","65.5","0"
"A0599","23.0042101659913","113.070423194968","66.5","0"
"A0600","23.0488614986084","113.071886353372","66","0"
"A0601","23.0342933071827","113.064006671661","66","0"
"A0602","23.0304158077439","113.121425020467","65.5","0"
"A0603","23.020849501249","113.139314774692","66","0"
"A0604","22.9908324994785","113.072310229606","68","0"
"A0605","23.0263055575238","113.14034911869","66","0"
"A0606","23.0433406482801","113.105616652684","65.5","0"
"A0607","23.0299148275537","113.057659469996","66","0"
"A0608","23.0128103543391","113.12023264297","66","0"
"A0609","23.0451643289461","113.121004643132","65.5","0"
"A0610","23.0024026000191","113.06518692922","67","0"
"A0611","23.0300435166782","113.1298659419","65.5","0"
"A0612","22.914524735596","113.67609750868","70","1"
"A0613","22.8561568247489","114.153990724557","70","1"
"A0614","23.0094440004859","113.092542767296","66","0"
"A0615","22.9799456310705","114.00208465958","67","1"
"A0616","23.0103936002526","113.146297253114","66","0"
"A0617","23.0057602389096","113.135566462902","65.5","0"
"A0618","22.9436279752327","113.675682632569","65.5","1"
"A0619","23.0804329753525","113.96781959271","70","1"
"A0620","22.9322496901802","113.940333894816","69","1"
"A0621","22.7933995909888","114.160893619398","70","1"
"A0622","22.8001848760928","113.78268970834","67","1"
"A0623","22.9789226838562","113.956267034415","70","1"
"A0624","22.8311081741368","113.780171847827","69","1"
"A0625","22.7283175842834","114.196704294559","72","1"
"A0626","22.7810824907836","114.057401414561","70","1"
"A0627","22.7963311816439","114.063232639014","70","1"
"A0628","22.8210452694299","113.809035656989","65","1"
"A0629","23.0488373689981","113.855765592247","70","1"
"A0630","22.8197357594223","113.809330215857","65","1"
"A0631","22.922770135563","113.668950192994","66","1"
"A0632","22.8387027978275","113.706687858337","68.5","1"
"A0633","23.0312877339999","113.833431230766","67.5","1"
"A0634","22.9988913711559","113.620642866499","66.5","1"
"A0635","22.7920915007785","114.101788080371","70","1"
"A0636","22.9692111907922","113.763837072117","71.5","1"
"A0637","22.7678133746856","114.042169117525","70","1"
"A0638","23.0502978766506","113.756615851938","65.5","1"
"A0639","22.8188764003867","113.677415476473","65.5","1"
"A0640","22.8824543531031","114.006817471989","75","1"
"A0641","22.7406896029042","114.16644492377","70","1"
"A0642","22.9654733746607","114.154279241422","75","1"
"A0643","22.6979684232862","114.178714153794","68","1"
"A0644","22.9692050712888","114.17415507996","75","1"
"A0645","23.0350410631997","113.856110740986","69","1"
"A0646","23.02874532138","113.831151892824","67.5","1"
"A0647","23.1021459843495","113.803077113899","69.5","1"
"A0648","23.0230261000922","113.841660492557","68","1"
"A0649","22.8442148547205","114.174437866534","70","1"
"A0650","23.0637715622437","113.834619040379","68.5","1"
"A0651","23.0284963036582","113.848423024468","68","1"
"A0652","22.8448561052026","114.17280891256","70","1"
"A0653","23.0263155095615","113.842256654806","67.5","1"
"A0654","22.8576093516002","113.053125232022","70.5","1"
"A0655","22.9879600740101","113.017085872534","69","1"
"A0656","22.8485100847874","113.187029876878","70.5","1"
"A0657","22.884598405881","113.218275910739","68","0"
"A0658","22.9138948968317","113.22408782342","74","0"
"A0659","22.9652963044555","113.246073168058","71.5","0"
"A0660","22.8785231192173","113.055362279538","75","0"
"A0661","22.8785231192173","113.055362279538","75","0"
"A0662","22.709901727628","113.168230689167","75","1"
"A0663","23.0097420550132","113.085522754975","65.5","0"
"A0664","22.803630662197","113.252398406643","72.5","1"
"A0665","22.7203633425375","113.155094249377","75","1"
"A0666","22.8572715949298","113.267790531992","68","1"
"A0667","22.7678996653103","113.292417323319","70","1"
"A0668","22.8469006321086","113.27797488925","68","1"
"A0669","22.9095333434673","113.180925088087","70","1"
"A0670","22.9301721211053","113.218367086951","72.5","1"
"A0671","22.8663634695488","113.138382886031","70","1"
"A0672","22.8573761736994","113.053481894344","70.5","0"
"A0673","22.8225054564589","113.241833078018","70","1"
"A0674","22.8821412994344","113.217936898324","68.5","0"
"A0675","23.038668502773","113.2034172001","70","1"
"A0676","22.8527143126952","113.256555405219","67.5","1"
"A0677","23.1282410171152","113.013931250855","71","1"
"A0678","23.1010323160045","113.211687200944","67","1"
"A0679","22.8057463245352","113.275591790733","72","1"
"A0680","23.1463183060349","113.105092598317","68","1"
"A0681","22.8413902401261","113.263175388622","66","1"
"A0682","22.8479968450011","113.26544497456","66.5","1"
"A0683","22.8225054564589","113.241833078018","70","1"
"A0684","22.8413377965285","113.252832115729","66.5","1"
"A0685","22.8178291155714","113.728878210665","72","1"
"A0686","22.9133457843452","113.625675911473","75","1"
"A0687","23.1042585145758","113.864423907207","72","1"
"A0688","23.2543432887861","113.14167326952","72.5","1"
"A0689","22.8046147160884","113.738957680873","72","1"
"A0690","23.2297821786792","113.08571823344","75","1"
"A0691","23.1282410171152","113.013931250855","75","1"
"A0692","23.1507239282908","113.106826651341","68","1"
"A0693","23.0401469705316","113.107472443172","65.5","0"
"A0694","23.0350962096639","113.215226958534","68","1"
"A0695","23.0671216566109","113.711024992321","72","1"
"A0696","22.9689426342209","113.985753238143","68","1"
"A0697","22.8249515950992","114.147304677072","75","1"
"A0698","23.0298667434828","113.806949257104","66","1"
"A0699","23.0639742531614","113.107355157709","66.5","0"
"A0700","22.9246374356847","113.663224470031","72","1"
"A0701","22.9443423605056","113.677128266642","65.5","1"
"A0702","22.8444321776728","114.174983888962","75","1"
"A0703","22.7810824907836","114.057401414561","69","1"
"A0704","22.9178973547884","114.014809217311","75","1"
"A0705","23.0824818204854","113.87562020652","68.5","1"
"A0706","22.7884983701101","114.109162080758","75","1"
"A0707","23.1090441157491","113.824963965626","72","1"
"A0708","22.8886494830168","113.668795077192","75","1"
"A0709","22.8231151648424","113.682687043119","65.5","1"
"A0710","23.0214706869108","113.976730290197","72","1"
"A0711","22.8415806472933","113.983753398078","75","1"
"A0712","22.8019369732641","113.721548430265","72","1"
"A0713","23.0999697184324","113.660367638426","68","1"
"A0714","22.8206529271952","113.67932364446","66","1"
"A0715","23.000784269834","113.950923237718","72","1"
"A0716","22.7439453430623","114.143999862305","75","1"
"A0717","22.8387027978275","113.706687858337","72","1"
"A0718","22.7022856763495","114.17366808878","75","1"
"A0719","22.8291522954934","113.734764672822","72","1"
"A0720","23.0250614847676","114.103597283837","75","1"
"A0721","22.7482989235827","114.139154251471","75","1"
"A0722","22.8766088620577","113.675043962504","75","1"
"A0723","22.7359118422042","114.275790353461","65.5","1"
"A0724","23.0824818204854","113.87562020652","68.5","1"
"A0725","22.9654733746607","114.154279241422","75","1"
"A0726","22.8358629451655","114.112857784184","75","1"
"A0727","22.9456590628681","113.950584289981","72","1"
"A0728","23.0056171711805","113.938165520835","72","1"
"A0729","22.8889808795302","113.22103719857","69.5","0"
"A0730","22.766760474344","113.262949835787","72.5","1"
"A0731","22.8847994536314","113.258954240253","73","1"
"A0732","22.8442556528527","113.258879341336","66","1"
"A0733","22.9511921373438","113.267032816684","75","1"
"A0734","22.7112985335732","113.161417171232","75","0"
"A0735","23.2044587942103","113.163389144961","75","1"
"A0736","22.7836039192068","113.291565936306","72","1"
"A0737","23.2604804048825","113.023625339017","75","1"
"A0738","22.9870641976251","113.768942907685","68","1"
"A0739","23.0955424458077","113.184764535666","85","1"
"A0740","23.1035079563968","113.183697797873","80","1"
"A0741","22.8206529271952","113.67932364446","66","1"
"A0742","22.9896558558926","113.88973869186","85","1"
"A0743","22.9413278534327","113.676795108485","72","1"
"A0744","22.833992257428","114.096809684656","72","1"
"A0745","23.221138677572","112.92484586407","75","1"
"A0746","23.024293694452","113.791300864956","66.5","1"
"A0747","22.8206529271952","113.67932364446","66","1"
"A0748","23.0962141788758","113.657281174779","68","1"
"A0749","22.9704957404223","113.919336448962","85","1"
"A0750","23.0294146213547","113.995516745558","85","1"
"A0751","23.1175980334657","113.88363678999","85","1"
"A0752","22.8184991007943","113.806716820553","65","1"
"A0753","22.9629450030037","113.678640867595","66.5","1"
"A0754","23.0635445240355","113.771058201567","65.5","1"
"A0755","22.8002965692193","113.747257394969","72","1"
"A0756","23.0781565993019","113.874114264706","67.5","1"
"A0757","23.0598321533773","113.587232366643","75","1"
"A0758","23.1270333724732","113.012003662401","72","1"
"A0759","23.0423525405033","113.73183708259","67","1"
"A0760","22.8086981089585","114.100226422955","85","1"
"A0761","23.1050098142636","113.81981570219","72","1"
"A0762","23.0546665424943","113.741403919488","66","1"
"A0763","23.0571480063294","113.663448043001","72","1"
"A0764","23.0422956723757","113.807775788003","66","1"
"A0765","23.0037161609897","113.881268016751","85","1"
"A0766","23.0087768345489","113.738185622321","72","1"
"A0767","22.9381595638576","113.887040884362","70","1"
"A0768","23.050802973719","113.715671602434","72","1"
"A0769","23.0832246049506","113.728526388413","66.5","1"
"A0770","23.0543426926731","113.754890746037","65.5","1"
"A0771","22.9166930484938","114.024871476885","72","1"
"A0772","23.0260996458756","113.746607957814","66.5","1"
"A0773","23.0732836216131","114.023446723923","85","1"
"A0774","23.0863688268226","113.950534371144","72","1"
"A0775","23.138716748176","113.111198007171","85","1"
"A0776","22.9880788465572","114.02085788919","66","1"
"A0777","23.0432640719596","112.92608125962","85","1"
"A0778","23.061022998073","112.922148208607","80","1"
"A0779","22.9408117474556","113.945322628052","72","1"
"A0780","22.9958708444062","113.762143365587","72","1"
"A0781","22.9133414171648","113.84836931568","72","1"
"A0782","22.9733332699073","113.730314028056","67.5","1"
"A0783","23.1127608293168","112.929911359432","70","1"
"A0784","23.1235871810544","113.164835494985","68","1"
"A0785","23.0591386340413","113.743130759118","66","1"
"A0786","23.0681283794355","113.025536318701","80","1"
"A0787","23.0972442086687","113.752357670924","71","1"
"A0788","23.1988536579718","113.185160535684","85","1"
"A0789","23.0934829483957","113.182621538042","85","1"
"A0790","23.2319069152492","113.089087363288","85","1"
"A0791","23.0627911897857","113.062378415671","85","0"
"A0792","23.062334149945","113.105684107343","66.5","1"
"A0793","23.1097103215366","113.180840492262","85","1"
"A0794","23.2292311126214","113.082718812903","85","1"
"A0795","23.1150190928058","112.930563684639","70","1"
"A0796","23.1152677456473","113.116939915803","85","1"
"A0797","22.8025686356877","113.287397853538","85","1"
"A0798","23.0600749433877","112.921689887746","85","1"
"A0799","23.1502912237444","113.109264614765","67.5","1"
"A0800","23.110656485148","113.130968681083","85","1"
"A0801","23.0650595011001","113.057277936699","72","1"
"A0802","22.9359515728405","113.899085229213","80","1"
"A0803","23.1145839344212","113.861314181041","72","1"
"A0804","22.9067297737592","113.847587430565","72","1"
"A0805","22.909766201816","114.074039829211","80","1"
"A0806","23.1146532512226","113.836965417065","72","1"
"A0807","23.0390982506854","113.773177736349","65.5","1"
"A0808","22.8467040067956","114.159286453825","85","1"
"A0809","23.1152677456473","113.116939915803","85","1"
"A0810","22.8640296541497","113.139840112737","72","1"
"A0811","22.9662958675475","113.090602899005","72","0"
"A0812","22.964117958076","113.089718547773","72","0"
"A0813","22.9588149646884","113.08996379955","72","0"
"A0814","22.8896740066287","113.081987000235","74","0"
"A0815","23.1127516798931","113.12539121536","80","1"
"A0816","22.9642070520217","113.095785867576","72","0"
"A0817","22.9604996933944","113.107183817611","72","0"
"A0818","23.0636785372865","113.05707444984","72","0"
"A0819","22.9653213803937","113.092568377088","72","0"
"A0820","23.0095891526153","113.085642361659","72","0"
"A0821","22.7898213335287","113.164103868266","74","0"
"A0822","23.0418187677355","113.088398158149","72","0"
"A0823","22.9681791710674","113.097867107594","72","0"
"A0824","22.9945666637602","113.140925647573","72","0"
"A0825","22.9788820160337","113.016650621057","72","0"
"A0826","22.9456383638471","113.09004145357","72","0"
"A0827","23.0666723454291","113.154870338644","65.5","1"
"A0828","23.0128081082158","113.760312199449","66","1"
"A0829","23.1790300071117","112.876192460885","80","1"
"A0830","23.1234111293555","113.151774758095","85","1"
"A0831","23.0440623974563","113.125784041664","65.5","0"
"A0832","22.8332623991325","113.280151555364","72","1"
"A0833","22.8146759735082","113.827731195748","85","1"
"A0834","23.0636739781751","113.771188397476","65.5","1"
"A0835","23.1232943054161","113.110382335887","85","1"
